event_id,cohort_role,as_of,information_cutoff,realized_available_at
event_01,development,2026-01-01T16:00:00Z,2026-01-01T16:00:00Z,2026-01-06T20:00:00Z
event_02,development,2026-01-09T16:00:00Z,2026-01-09T16:00:00Z,2026-01-14T20:00:00Z
