event_id,as_of,information_cutoff,status,eligible_training_event_count,eligible_training_event_ids,latest_training_realized_available_at,ridge_multiplier,ridge_penalty,cross_validated_rmse,residual_standard_error,cv_rmse_multiplier_0.01,cv_rmse_multiplier_0.1,cv_rmse_multiplier_1,cv_rmse_multiplier_10,cv_rmse_multiplier_100
event_01,2026-01-01 16:00:00,2026-01-01 16:00:00,raw_fallback,0,,,,,,,,,,,
event_02,2026-01-09 16:00:00,2026-01-09 16:00:00,raw_fallback,1,event_01,2026-01-06 20:00:00,,,,,,,,,
