event_id,policy_id,net_pnl_bps,within_event_max_drawdown_bps,hard_pass,behavior_pass,impact_cost_dollars,early_factor_imbalance_pct,late_early_gross_ratio,urgent_first_trade_day,small_first_trade_day,max_cap_excess_shares,max_wrong_direction_shares,terminal_completion_error_shares
event_01,policy_0050,-2.6475257444419737,2.667037621176261,True,False,4.637960375855866,62.71186440677968,1.0,1.0,3.0,0.0,0.0,1.4210854715202004e-14
event_02,policy_0050,-2.6475257444419737,2.667037621176261,True,False,4.637960375855866,62.71186440677968,1.0,1.0,3.0,0.0,0.0,1.4210854715202004e-14
event_01,policy_0200,-1.292729953944546,1.292729953944546,True,False,3.5020828915071824,62.71186440677967,1.0,1.0,3.0,0.0,0.0,2.842170943040401e-14
event_02,policy_0200,-1.292729953944546,1.292729953944546,True,False,3.5020828915071824,62.71186440677967,1.0,1.0,3.0,0.0,0.0,2.842170943040401e-14
event_01,policy_0350,-1.135051723748192,1.135051723748192,True,False,3.386851187576795,62.71186440677966,1.0,1.0,2.0,0.0,0.0,2.842170943040401e-14
event_02,policy_0350,-1.135051723748192,1.135051723748192,True,False,3.386851187576795,62.71186440677966,1.0,1.0,2.0,0.0,0.0,2.842170943040401e-14
event_01,policy_0500,-0.025769004679880934,0.45319665570970585,True,True,2.717182300038919,62.71186440677966,1.0,1.0,1.0,0.0,0.0,2.1316282072803006e-14
event_02,policy_0500,-0.025769004679880934,0.45319665570970585,True,True,2.717182300038919,62.71186440677966,1.0,1.0,1.0,0.0,0.0,2.1316282072803006e-14
event_01,policy_0650,0.09401553666983845,0.5357721560111197,True,True,2.6849105736520658,62.71186440677967,1.0,1.0,1.0,0.0,0.0,2.842170943040401e-14
event_02,policy_0650,0.09401553666983845,0.5357721560111197,True,True,2.6849105736520658,62.71186440677967,1.0,1.0,1.0,0.0,0.0,2.842170943040401e-14
event_01,policy_0800,0.20058241336542654,0.6271163765558739,True,True,2.670029117488859,62.71186440677967,1.0,1.0,1.0,0.0,0.0,2.842170943040401e-14
event_02,policy_0800,0.20058241336542654,0.6271163765558739,True,True,2.670029117488859,62.71186440677967,1.0,1.0,1.0,0.0,0.0,2.842170943040401e-14
event_01,policy_1000,0.3219689383543671,0.7682242347641529,True,True,2.6814513093936307,62.71186440677967,1.0,1.0,1.0,0.0,0.0,1.4210854715202004e-14
event_02,policy_1000,0.3219689383543671,0.7682242347641529,True,True,2.6814513093936307,62.71186440677967,1.0,1.0,1.0,0.0,0.0,1.4210854715202004e-14
