date,daily_gross_pct,cumulative_gross_pct,urgent_daily_gross_pct,medium_daily_gross_pct,small_daily_gross_pct,max_factor_imbalance_pct,event_id,strategy,selected_plan_source,day_index
2031-10-16,5.762106245956545,5.762106245956545,3.066702086785101,2.6954041587667743,4.0467071826277607e-10,2.2412545376455935,event_97,static_open_loop,static_open_loop,1
2031-10-17,6.679941612096527,12.442047858053073,3.6111750593861,3.0687665523148357,3.95591580105938e-10,2.6798785946721044,event_97,static_open_loop,static_open_loop,2
2031-10-20,8.096790560060004,20.538838418113077,4.588055075154228,3.508735484532668,3.7310705002248603e-10,3.57520973753628,event_97,static_open_loop,static_open_loop,3
2031-10-21,10.908897556074178,31.447735974187253,6.591209462788428,4.3176880929595365,3.2621541956264004e-10,4.666284628666502,event_97,static_open_loop,static_open_loop,4
2031-10-22,11.82421851506087,43.271954489248124,7.142857274756455,4.681361240074367,2.30047647360647e-10,5.451976878669096,event_97,static_open_loop,static_open_loop,5
2031-10-23,11.997875412598857,55.26982990184698,7.142857310117859,4.855018102325995,1.550037655902531e-10,6.1170866027726385,event_97,static_open_loop,static_open_loop,6
2031-10-24,11.683275040135936,66.95310494198291,7.142857337810429,4.540417702228902,9.660779623329846e-11,7.267771514376894,event_97,static_open_loop,static_open_loop,7
2031-10-27,9.7765087531819,76.72961369516482,7.142857358500796,2.63365139462971,5.139536175440565e-11,9.024180898334285,event_97,static_open_loop,static_open_loop,8
2031-10-28,10.20825522882734,86.93786892399216,7.142857370952609,1.5103499406666252,1.5550479172081064,11.80790794297966,event_97,static_open_loop,static_open_loop,9
2031-10-29,13.062131080345543,100.00000000433769,7.142857378032761,0.33146447463112805,5.587809227681652,15.76354679802969,event_97,static_open_loop,static_open_loop,10
2031-10-16,4.444635646732745,4.444635646732745,2.3834057659939245,2.061229879873199,8.656208510716397e-10,3.5595896422467552,event_97,forecast_liquidity,forecast_liquidity,1
2031-10-17,5.483553069179636,9.92818871591238,2.9322148465843023,2.5513382217446816,8.506513169381351e-10,2.6076872800863558,event_97,forecast_liquidity,forecast_liquidity,2
2031-10-20,6.851764714841526,16.779953430753906,3.635395613674102,3.216369100350934,8.164891323729055e-10,2.3121962800031595,event_97,forecast_liquidity,forecast_liquidity,3
2031-10-21,9.238850808266557,26.01880423902046,5.460493372042592,3.7783574354348874,7.890780885605125e-10,3.884440586673431,event_97,forecast_liquidity,forecast_liquidity,4
2031-10-22,11.564255468682717,37.58305970770318,6.750257357143476,4.8139981112080505,3.3118793427673455e-10,4.22650322523648,event_97,forecast_liquidity,forecast_liquidity,5
2031-10-23,12.555595654345137,50.13865536204831,7.094657719459306,5.4609379346312865,2.545438832588115e-10,4.237711032295451,event_97,forecast_liquidity,forecast_liquidity,6
2031-10-24,12.79196831160677,62.93062367365508,7.405223636124189,5.38674467540218,8.040183196402465e-11,4.723868289583795,event_97,forecast_liquidity,forecast_liquidity,7
2031-10-27,10.766719199792394,73.69734287344747,7.705684063499213,3.061035136261718,3.1464721142081064e-11,6.718732884723133,event_97,forecast_liquidity,forecast_liquidity,8
2031-10-28,11.218474317697673,84.91581719114514,8.279609129875563,1.812846648059234,1.1260185397628761,10.137053069352515,event_97,forecast_liquidity,forecast_liquidity,9
2031-10-29,15.084182815805969,100.00000000695111,9.067344209888011,1.2065497775806462e-10,6.016838605797302,15.763546798029832,event_97,forecast_liquidity,forecast_liquidity,10
2031-11-04,5.414225567148984,5.414225567148984,2.9021769659299808,2.512048600906541,3.1246222099878785e-10,2.8148762702117724,event_98,static_open_loop,static_open_loop,1
2031-11-05,6.358217481178296,11.772443048327279,3.5201419452126173,2.8380755356602276,3.0545106623320884e-10,3.476437965860052,event_98,static_open_loop,static_open_loop,2
2031-11-06,8.152097907418325,19.924540955745606,4.729872862252823,3.422225044877405,2.8809662668108953e-10,4.727413559071263,event_98,static_open_loop,static_open_loop,3
2031-11-07,10.783480100510896,30.708021056256502,6.704950178041425,4.078529922217575,2.5189847767742783e-10,6.153438735926783,event_98,static_open_loop,static_open_loop,4
2031-11-10,11.41816655244873,42.12618760870523,7.142857244692314,4.275309307578775,1.7764167732756256e-10,6.671437472517921,event_98,static_open_loop,static_open_loop,5
2031-11-11,11.690339991778337,53.81652760048357,7.142857271997208,4.547482719661432,1.1969678370978235e-10,6.933210395906656,event_98,static_open_loop,static_open_loop,6
2031-11-12,11.532852427760195,65.34938002824376,7.142857293381006,4.389995134304586,7.460242610401442e-11,7.907201081672993,event_98,static_open_loop,static_open_loop,7
2031-11-13,10.912739831551598,76.26211985979535,7.142857309358408,3.7698825221535017,3.968861953611856e-11,9.105401310204574,event_98,static_open_loop,static_open_loop,8
2031-11-14,9.367650732949087,85.62977059274444,7.142857318975236,1.3189627899665561,0.9058306240072979,11.604339786570224,event_98,static_open_loop,static_open_loop,9
2031-11-17,14.37022941060502,100.00000000334946,7.142857324443967,0.9903455657416852,6.237026520419365,15.76354679802966,event_98,static_open_loop,static_open_loop,10
2031-11-04,4.241082682903973,4.241082682903973,2.1973685127767983,2.043714169413768,7.134058848890724e-10,2.634505342772703,event_98,forecast_liquidity,forecast_liquidity,1
2031-11-05,5.2597240268199625,9.500806709723935,2.8744749802661502,2.385249045858424,6.953873896883572e-10,2.371991948559041,event_98,forecast_liquidity,forecast_liquidity,2
2031-11-06,6.7776320987823135,16.278438808506248,3.824438976938175,2.9531931211816462,6.62491985423184e-10,3.1933855545022483,event_98,forecast_liquidity,forecast_liquidity,3
2031-11-07,9.450937758032612,25.72937656653886,5.515227437664279,3.9357103197351258,6.332082678023389e-10,4.162522503278401,event_98,forecast_liquidity,forecast_liquidity,4
2031-11-10,11.117750939218046,36.84712750575691,6.750257314736466,4.367493624192435,2.8914693538842145e-10,4.954169032225667,event_98,forecast_liquidity,forecast_liquidity,5
2031-11-11,11.97224706168827,48.81937456744518,7.0946576773023775,4.877589384153762,2.3212923583650362e-10,5.336583291433946,event_98,forecast_liquidity,forecast_liquidity,6
2031-11-12,12.34966622812463,61.16904079556981,7.405223580106356,4.944442647906207,1.120648621273251e-10,5.668065036494162,event_98,forecast_liquidity,forecast_liquidity,7
2031-11-13,11.901492138140098,73.07053293370991,7.705684002899879,4.195808135139849,1.0036978895107869e-10,7.0390659977397965,event_98,forecast_liquidity,forecast_liquidity,8
2031-11-14,10.05762094030848,83.1281538740184,8.27960907897296,1.3580807159468895,0.4199311453886281,10.35504947089342,event_98,forecast_liquidity,forecast_liquidity,9
2031-11-17,16.871846131662096,100.00000000568049,9.067344152621462,1.081575979567845,6.7229259994727855,15.763546798029703,event_98,forecast_liquidity,forecast_liquidity,10
2031-11-21,5.60015307735356,5.60015307735356,2.9772271149685916,2.6229259620555196,3.2944696197723876e-10,2.524913492211054,event_99,static_open_loop,static_open_loop,1
2031-11-24,6.57886830623184,12.1790213835854,3.5788793191030317,2.999988986807595,3.212134481992179e-10,3.0338488262504275,event_99,static_open_loop,static_open_loop,2
2031-11-25,8.26495824906385,20.443979632649253,4.713135030688822,3.551823218074127,3.0090351941241616e-10,3.671510427713946,event_99,static_open_loop,static_open_loop,3
2031-11-26,10.74503124450516,31.189010877154413,6.587900346523052,4.157130897723325,2.5878379358714776e-10,5.289004143848039,event_99,static_open_loop,static_open_loop,4
2031-11-27,11.654967164648587,42.843978041803,7.14285726351332,4.512109900962303,1.7296668652167886e-10,5.940413153029723,event_99,static_open_loop,static_open_loop,5
