candidate,date,daily_long_pct,daily_short_pct,cumulative_long_pct,cumulative_short_pct,cumulative_gross_pct,long_short_gap_pp
fixed_10pct_adv,2026-07-01,8.542894652190128,8.803649823518304,8.542894652190128,8.803649823518304,8.673272237854215,-0.26075517132817616
fixed_10pct_adv,2026-07-02,8.542894651454485,8.686805977472032,17.085789303644614,17.490455800990333,17.28812255231747,-0.404666497345719
fixed_10pct_adv,2026-07-03,8.54289465023318,8.534953219574486,25.628683953877797,26.025409020564823,25.827046487221306,-0.3967250666870257
fixed_10pct_adv,2026-07-06,8.54289464822515,8.474435096506665,34.17157860210295,34.49984411707148,34.33571135958721,-0.3282655149685354
fixed_10pct_adv,2026-07-07,8.542894644609246,8.459230463210226,42.71447324671219,42.95907458028171,42.83677391349695,-0.24460133356951985
fixed_10pct_adv,2026-07-08,9.254307803763243,9.140555515453068,51.968781050475435,52.09963009573478,52.0342055731051,-0.13084904525934604
fixed_10pct_adv,2026-07-09,9.250858889784483,9.128306044656851,61.21963994025991,61.22793614039162,61.223788040325765,-0.008296200131709952
fixed_10pct_adv,2026-07-10,9.065165990613057,9.243408687557974,70.28480593087298,70.4713448279496,70.37807537941129,-0.1865388970766162
fixed_10pct_adv,2026-07-13,9.207713655207064,9.16454802930435,79.49251958608002,79.63589285725395,79.56420622166699,-0.14337327117392817
fixed_10pct_adv,2026-07-14,8.331315005371446,8.272411754641,87.82383459145149,87.90830461189495,87.8660696016732,-0.08447002044346164
fixed_10pct_adv,2026-07-15,6.629881496549943,6.583526646982185,94.45371608800143,94.49183125887713,94.47277367343926,-0.03811517087569882
fixed_10pct_adv,2026-07-16,3.292555220409347,3.266560909784816,97.74627130841078,97.75839216866194,97.75233173853634,-0.01212086025115866
fixed_10pct_adv,2026-07-17,1.0714206791494414,1.0636607680646428,98.81769198756022,98.82205293672658,98.81987246214338,-0.004360949166354544
fixed_10pct_adv,2026-07-20,0.6060963220441185,0.6061295018493107,99.42378830960435,99.42818243857589,99.42598537409009,-0.004394128971540567
fixed_10pct_adv,2026-07-21,0.5762116903956718,0.5718175614240938,100.00000000000003,99.99999999999999,99.99999999999999,4.263256414560601e-14
adaptive_uniform,2026-07-01,2.2180571178371213,1.7040311760749558,2.2180571178371213,1.7040311760749558,1.9610441469560385,0.5140259417621655
adaptive_uniform,2026-07-02,2.179382794162082,1.7040311755679691,4.397439911999203,3.408062351642925,3.9027511318210633,0.9893775603562776
adaptive_uniform,2026-07-03,2.1164677528054674,1.7040311747832404,6.51390766480467,5.112093526426165,5.813000595615417,1.401814138378505
adaptive_uniform,2026-07-06,2.325992598052951,1.7040311735689682,8.83990026285762,6.816124699995133,7.828012481426376,2.023775562862487
adaptive_uniform,2026-07-07,2.331121943534247,1.704031171387063,11.171022206391866,8.520155871382197,9.845589038887033,2.6508663350096686
adaptive_uniform,2026-07-08,3.7767509999402504,3.239695754935245,14.947773206332117,11.759851626317442,13.35381241632478,3.1879215800146756
adaptive_uniform,2026-07-09,3.9896943017781332,5.051600176806788,18.937467508110252,16.81145180312423,17.87445965561724,2.126015704986024
adaptive_uniform,2026-07-10,5.04622127797123,7.39241731607881,23.983688786081483,24.203869119203038,24.09377895264226,-0.22018033312155438
adaptive_uniform,2026-07-13,6.9205443935661775,7.6506622051593585,30.904233179647655,31.8545313243624,31.379382252005023,-0.9502981447147469
adaptive_uniform,2026-07-14,10.644289556103718,10.504034542042472,41.548522735751376,42.35856586640487,41.953544301078125,-0.8100431306534901
adaptive_uniform,2026-07-15,12.033595308262429,11.791296114231125,53.58211804401381,54.149861980636,53.86599001232489,-0.5677439366221861
adaptive_uniform,2026-07-16,12.814341931409476,12.718765988276726,66.39645997542328,66.86862796891272,66.632543972168,-0.4721679934894354
adaptive_uniform,2026-07-17,12.8143418643105,12.679516639445609,79.21080183973378,79.54814460835831,79.37947322404604,-0.3373427686245378
adaptive_uniform,2026-07-20,12.814341423945901,12.532221909197471,92.0251432636797,92.08036651755579,92.05275489061772,-0.05522325387609328
adaptive_uniform,2026-07-21,7.974856736320334,7.919633482444214,100.00000000000003,99.99999999999999,100.0,4.263256414560601e-14
adaptive_risk_weighted,2026-07-01,4.00369825165025,3.2431827235622968,4.00369825165025,3.2431827235622968,3.623440487606273,0.7605155280879532
adaptive_risk_weighted,2026-07-02,3.216921213294281,2.822566769224022,7.220619464944532,6.06574949278632,6.643184478865425,1.1548699721582123
adaptive_risk_weighted,2026-07-03,3.0937040325180107,2.388802111954928,10.314323497462544,8.454551604741246,9.384437551101895,1.859771892721298
