event_id,strategy,inventory_risk_weight,forecast_path_risk_weight,forecast_error_pnl_vol_dollars,forecast_predictive_pnl_vol_dollars,calibrated_persistent_directional_scale
event_01,static_open_loop,9.120811753644233e-08,0.0,528780.0871985152,3835486.725951519,0.5523050586418268
event_01,forecast_error_risk,9.120811753644233e-08,9.120811753644233e-08,528223.1714733351,3835346.4387794174,0.5523050586418268
event_02,static_open_loop,3.8283902251447715e-08,0.0,536932.6568683,3908481.870049182,0.5523050586418268
event_02,forecast_error_risk,3.8283902251447715e-08,3.8283902251447715e-08,535951.9949591458,3906549.990700603,0.5523050586418268
event_03,static_open_loop,7.211578142655057e-08,0.0,540879.7500394419,3867443.3989042593,0.5523050586418268
event_03,forecast_error_risk,7.211578142655057e-08,7.211578142655057e-08,540188.9070264295,3865545.39230518,0.5523050586418268
event_04,static_open_loop,2.73624352609327e-08,0.0,527198.1650083192,3928717.8832639195,0.5523050586418268
event_04,forecast_error_risk,2.73624352609327e-08,2.73624352609327e-08,526068.2922174816,3927739.9540731604,0.5523050586418268
event_05,static_open_loop,5.179388883466111e-08,0.0,570962.351230929,4082545.466731213,0.5523050586418268
event_05,forecast_error_risk,5.179388883466111e-08,5.179388883466111e-08,569436.9515212786,4072516.2378782337,0.5523050586418268
event_06,static_open_loop,9.120811753644233e-08,0.0,524878.5930100229,3830867.3163970974,0.5523050586418268
event_06,forecast_error_risk,9.120811753644233e-08,9.120811753644233e-08,523755.46713648195,3831278.2042395305,0.5523050586418268
event_07,static_open_loop,9.120811753644233e-08,0.0,525478.5630580991,3830858.7636455786,0.5523050586418268
event_07,forecast_error_risk,9.120811753644233e-08,9.120811753644233e-08,524957.4706431355,3831161.632617117,0.5523050586418268
event_08,static_open_loop,9.120811753644233e-08,0.0,534604.4956073986,3837281.919728831,0.5523050586418268
event_08,forecast_error_risk,9.120811753644233e-08,9.120811753644233e-08,534053.7213268109,3836397.6384408693,0.5523050586418268
event_09,static_open_loop,3.22141730598756e-08,0.0,564405.7295978289,4008772.380190597,0.5523050586418268
event_09,forecast_error_risk,3.22141730598756e-08,3.22141730598756e-08,563427.6339773881,4001368.1152751376,0.5523050586418268
event_10,static_open_loop,3.252111045372205e-08,0.0,570522.0567783827,4075617.026813688,0.5523050586418268
event_10,forecast_error_risk,3.252111045372205e-08,3.252111045372205e-08,569181.6864801373,4065305.526494368,0.5523050586418268
event_11,static_open_loop,2.984837373857986e-08,0.0,573469.3427262325,4102284.756281581,0.5523050586418268
event_11,forecast_error_risk,2.984837373857986e-08,2.984837373857986e-08,572855.2885632848,4098629.7671867684,0.5523050586418268
event_12,static_open_loop,2.8572097900037556e-08,0.0,566297.1265732676,4037519.505207992,0.5523050586418268
event_12,forecast_error_risk,2.8572097900037556e-08,2.8572097900037556e-08,565565.082443993,4033302.167665093,0.5523050586418268
event_13,static_open_loop,3.907770979889986e-08,0.0,534663.1067817766,3900171.299607691,0.5523050586418268
event_13,forecast_error_risk,3.907770979889986e-08,3.907770979889986e-08,533898.5677565386,3899396.843824282,0.5523050586418268
event_14,static_open_loop,2.4420431734079272e-08,0.0,570590.8258724009,4084403.537356419,0.5523050586418268
event_14,forecast_error_risk,2.4420431734079272e-08,2.4420431734079272e-08,570182.8151344238,4081447.1129759843,0.5523050586418268
event_15,static_open_loop,4.2418807087331816e-08,0.0,547821.0409506524,3915843.8895372152,0.5523050586418268
event_15,forecast_error_risk,4.2418807087331816e-08,4.2418807087331816e-08,547281.6206348465,3913658.093214177,0.5523050586418268
event_16,static_open_loop,5.238103848384087e-08,0.0,544520.4483431042,3916785.5295663746,0.5523050586418268
event_16,forecast_error_risk,5.238103848384087e-08,5.238103848384087e-08,543442.4009766531,3914472.432372565,0.5523050586418268
event_17,static_open_loop,2.4027171062845417e-08,0.0,569632.6064985375,4083871.953933448,0.5523050586418268
event_17,forecast_error_risk,2.4027171062845417e-08,2.4027171062845417e-08,569125.8791848281,4079816.9438225892,0.5523050586418268
event_18,static_open_loop,4.659529547886065e-08,0.0,577680.4845303008,4114256.299176457,0.5523050586418268
event_18,forecast_error_risk,4.659529547886065e-08,4.659529547886065e-08,576880.2043104257,4107822.3160126447,0.5523050586418268
event_19,static_open_loop,2.3367526583195623e-08,0.0,573398.1508165562,4123211.181030267,0.5523050586418268
event_19,forecast_error_risk,2.3367526583195623e-08,2.3367526583195623e-08,572981.8609615146,4121119.8999471483,0.5523050586418268
event_20,static_open_loop,4.719218322334486e-08,0.0,508568.33794184844,3896298.483523657,0.5523050586418268
event_20,forecast_error_risk,4.719218322334486e-08,4.719218322334486e-08,507647.06585040165,3898401.81566808,0.5523050586418268
event_21,static_open_loop,6.432814734300226e-08,0.0,537321.5511560495,3874486.20654967,0.5523050586418268
event_21,forecast_error_risk,6.432814734300226e-08,6.432814734300226e-08,536723.6053675199,3873475.9437719276,0.5523050586418268
event_22,static_open_loop,4.522525230192032e-08,0.0,575235.1533087415,4087578.4845974874,0.5523050586418268
event_22,forecast_error_risk,4.522525230192032e-08,4.522525230192032e-08,574453.3876385407,4081525.56035415,0.5523050586418268
event_23,static_open_loop,4.284038955862011e-08,0.0,577954.8186915646,4132485.1130783265,0.5523050586418268
event_23,forecast_error_risk,4.284038955862011e-08,4.284038955862011e-08,577338.5123294692,4127384.9801596585,0.5523050586418268
event_24,static_open_loop,2.73624352609327e-08,0.0,535735.9496831393,3919054.953825896,0.5523050586418268
event_24,forecast_error_risk,2.73624352609327e-08,2.73624352609327e-08,535064.6124652101,3918000.9132382106,0.5523050586418268
