optimization_seed,profile,path_model,runtime_speedup,expected_net_pnl_delta_dollars,pnl_vol_delta_pct,scenario_loss_cvar_95_mean_delta_pct,early_factor_imbalance_delta_pp,late_early_ratio_delta,urgent_start_delta_days,small_start_delta_days,decision,decision_reason
20260724,low,second_moment,23.10808177574936,-476.93518392916303,-0.1419046636329968,-0.12374437961359952,-0.13023711116426817,0.0037811732036522328,0.0,0.0,keep,All acceptance gates passed.
20260724,medium,second_moment,23.10808177574936,116.03431831439957,-0.0012859092617389933,-0.00712013321608751,0.09479957634491942,0.001761622759897108,0.0,1.0,keep,All acceptance gates passed.
20260731,low,second_moment,24.315017775856578,-1867.9710328534711,-0.49270506474261566,-0.40209277284158906,-0.6425648156027437,0.009737458610874827,0.0,0.0,keep,All acceptance gates passed.
20260731,medium,second_moment,24.315017775856578,2250.6510994044365,0.10838624285098852,0.20698020747369483,-0.6617331588882966,-0.021896751335896747,0.0,-1.0,discard,Failed: small_not_earlier.
20260807,low,second_moment,22.448946421128,-1678.6182242679643,-0.42273130451357943,-0.34754452612903997,-0.7713308677884969,0.009791811092474512,0.0,0.0,keep,All acceptance gates passed.
20260807,medium,second_moment,22.448946421128,2556.704845838365,0.17966553368657934,0.23231410146873355,-0.7410887109860433,-0.029111773272343155,0.0,0.0,keep,All acceptance gates passed.
20260814,low,second_moment,53.58647238667199,-103.98969976545777,-0.03174654186319792,-0.02682514771598088,-0.034989506374349943,0.0007313130242919685,0.0,0.0,keep,All acceptance gates passed.
20260814,medium,second_moment,53.58647238667199,-511.359624672099,-0.03192096510710174,-0.03112306422882183,-0.07978217245647024,0.0016767180727745856,0.0,0.0,keep,All acceptance gates passed.
20260821,low,second_moment,25.531774152897093,-443.4848212468205,-0.13156862476717546,-0.1156778174813411,-0.136677775266266,0.003234464061503406,0.0,0.0,keep,All acceptance gates passed.
20260821,medium,second_moment,25.531774152897093,-1137.4645956909517,-0.07498970362141977,-0.028449059349289207,0.09750453606949083,-0.0007456826729914656,0.0,0.0,keep,All acceptance gates passed.
