risk_aversion,event_count,mean_selected_net_pnl_bps,mean_fallback_net_pnl_bps,mean_net_pnl_delta_bps,selected_pnl_vol_bps,fallback_pnl_vol_bps,selected_loss_cvar_95_bps,fallback_loss_cvar_95_bps,mean_selected_drawdown_bps,mean_policy_aggressiveness,all_selected_hard_pass,selected_behavior_pass_rate,economically_viable_selection_rate,decision,decision_reason
high,36,1.747901814350328,1.747901814350328,0.0,0.36805848078545395,0.36805848078545395,0.0,0.0,0.3553639237995187,0.05000000000000001,True,1.0,1.0,discard,Failed: profile_volatility_within_050bp.
medium,36,2.5879059732867544,2.8696115354051606,-0.28170556211840575,1.0276879195908102,1.0223739727807355,0.0,0.0,0.5492959925421307,0.24166666666666675,True,1.0,1.0,discard,Failed: profile_volatility_within_050bp.
low,36,3.1675744207265875,2.463915840928585,0.7036585797980024,1.8837784781868627,3.235882905795953,0.0,4.101943732927207,0.7671496426645454,0.40277777777777785,True,1.0,1.0,discard,Failed: profile_volatility_within_050bp.
