event_id,as_of,strategy,plan_selection_policy,selected_plan_source,selection_reason,selection_profit_floor_dollars,selection_candidate_forecast_net_pnl_dollars,selection_candidate_profit_slack_dollars,selection_candidate_hard_passed,coefficient_policy,alpha_policy,factor_policy,profit_policy,liquidity_shape_policy,liquidity_shape_fraction,forecast_profit_floor_dollars,forecast_profit_floor_slack_dollars,forecast_alpha_floor_dollars,forecast_alpha_floor_slack_dollars,factor_stress_fraction,alpha_confidence,mean_capacity_slack_fraction,solver,risk_aversion,liquidity_forecast_quantile,forecast_rmse_bps,selected_inventory_risk_weight,forecast_expected_net_pnl_dollars,gross_holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,parent_gross_dollars,net_pnl_bps,within_event_max_drawdown_dollars,within_event_max_drawdown_bps,terminal_completion_error_shares,max_realized_participation_rate,p95_realized_participation_rate,max_realized_participation_excess_shares,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,urgent_first_trade_day,medium_first_trade_day,small_first_trade_day,early_factor_imbalance_pct,max_cap_excess_shares,max_wrong_direction_shares,terminal_completion_error_shares_audit
event_25,2028-03-14 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.3221623622106375,9.120811753644233e-08,-223308.5951625572,-4261101.052885425,278677.2060687669,49280.91451393048,-4589059.173468122,487200000.00000006,-94.19251177069215,5358385.92790679,109.98329080268451,5.007314030081034e-08,0.11618405925173603,0.09532754426271864,11724.467667962454,0.7212121212121211,1.719472478177624,42.44320679228544,7.0,1.0,1.0,9.0,5.200194712104993,0.009858645498752594,1.7017842509456392e-05,4.039611667394638e-08
event_25,2028-03-14 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,3.3221623622106375,9.120811753644233e-08,-232262.67194886322,-4121199.617511829,267686.0308400338,48891.04165724086,-4437776.690009103,487200000.00000006,-91.0873704845875,5327944.702511169,109.35847090540165,8.080678526312113e-08,0.10758913743922156,0.09296120834770874,6587.701009528551,0.8787878787878788,2.2945924243969698,37.502011320647846,8.0,1.0,1.0,9.0,3.466547941516414,0.011432565326686017,2.343466242334988e-05,4.761386662721634e-08
event_26,2028-03-31 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,4.148603817406138,2.73624352609327e-08,52146.37753453898,414297.03152603353,290869.1184687112,48489.36714170067,74938.54591562157,487200000.00000006,1.538147494163004,2117381.363670631,43.460208613929204,9.503855835646391e-08,0.11431012480479581,0.08857751677646238,15022.422695603527,0.6,1.3888808617979422,44.30793134871459,6.0,1.0,1.0,4.0,4.900253605585346,0.01285890729923267,2.5833961400230176e-05,6.228219717741013e-08
event_26,2028-03-31 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,4.148603817406138,2.73624352609327e-08,21672.95347954658,744023.5583472298,273277.9304499928,48070.68038631498,422674.9475109221,487200000.00000006,8.675594160733212,1779054.2504947032,36.515891841024285,6.592017598450184e-09,0.1055449635105667,0.08732634176407897,6300.035608243561,0.8303030303030302,1.8950524763604673,39.28409413679167,7.0,1.0,1.0,5.0,2.7113216522760077,0.00016170823073480278,1.18857047222713e-06,2.0954757928848267e-09
event_27,2028-04-19 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.90377226822418,2.420197093537582e-08,646701.8758021602,-5396797.440737354,360119.2762796375,48755.535108622134,-5805672.252125614,487200000.00000006,-119.16404458385907,5805672.252125615,119.16404458385908,5.324545782059431e-08,0.1295889125158317,0.11380328116813496,20287.072569450655,0.17575757575757575,1.0204350033073661,49.522376781748406,6.0,1.0,1.0,1.0,4.615827675513881,0.025218834925908595,2.0966949541540345e-06,3.247987478971481e-08
event_27,2028-04-19 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,3.90377226822418,2.420197093537582e-08,593900.5960955716,-4704378.38876519,331289.262835249,48141.01562668705,-5083808.667227126,487200000.00000006,-104.3474685391446,5083808.667227126,104.3474685391446,6.693881005048752e-09,0.12401270596338079,0.10082308798194663,16463.853080350134,0.6484848484848483,1.4766530836299159,43.487028820396866,6.0,1.0,1.0,1.0,3.1447182519667334,7.653821376152337e-05,4.931378820330768e-07,1.7462298274040222e-09
event_28,2028-05-08 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.6782790431350145,1.923035711662647e-08,516580.2191237578,-1802867.6615675092,311287.7065949077,49964.692449295384,-2164120.0606117127,487200000.00000006,-44.419541473967826,5140731.461229926,105.5158345901052,4.317553248256445e-08,0.14065355365805954,0.09935483045302775,35413.52808667792,0.22424242424242422,1.1000961046141273,47.812437317152146,5.0,1.0,1.0,3.0,6.871301687573879,0.012613858430995606,2.6841829439799355e-06,3.620516508817673e-08
event_28,2028-05-08 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,3.6782790431350145,1.923035711662647e-08,473115.7565151058,-1779040.6667043932,291977.6182551893,49549.4451028033,-2120567.730062386,487200000.00000006,-43.52561022295537,4841305.07946872,99.36997289549916,6.446498446166515e-09,0.11524266521404068,0.0957232360902696,18748.79687397217,0.5757575757575757,1.548998106265575,42.26887695658367,7.0,1.0,1.0,3.0,4.1147789149026694,9.280475205741823e-05,1.2242768467656692e-06,1.6298145055770874e-09
event_29,2028-05-25 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.4311261149828525,2.375508784604258e-08,608977.658267641,-2789609.7063098154,305210.63721466076,49284.453074039746,-3144104.796598516,487200000.00000006,-64.53417070193997,4597095.834837601,94.35746787433497,9.93022695183754e-08,0.12100573112102789,0.09739340297601147,20421.6435770932,-0.11515151515151514,0.8902223364056494,50.766715384076434,5.0,1.0,1.0,1.0,5.165178145380185,0.02455668903712649,8.92203587252953e-06,7.904600352048874e-08
event_29,2028-05-25 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,3.4311261149828525,2.375508784604258e-08,558512.414791155,-2494869.1278846627,282438.7627018782,48817.396876597304,-2826125.287463139,487200000.00000006,-58.0074976901301,4113667.624696052,84.43488556436887,8.774804882705212e-09,0.11066024969346366,0.08950439331095966,10363.829681929157,0.4787878787878787,1.2813982750609838,45.00373045967366,5.0,1.0,1.0,1.0,3.599302723494118,6.523210322484374e-05,4.0137818347432806e-07,2.6775524020195007e-09
