optimization_seed,model,profile,frontier_runtime_seconds,stress_variance_scale,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,urgent_first_trade_day,medium_first_trade_day,small_first_trade_day,early_factor_imbalance_pct,scenario_loss_cvar_95_mean_dollars,scenario_loss_cvar_95_std_dollars,scenario_loss_cvar_95_worst_dollars
20260724,hybrid_96,medium,23.941021249978803,,1068466.0517047686,309070.86469373165,49378.08413991664,710017.1028711202,3862262.361803889,5842290.083461652,8532887.628237147,0.59375,0.49090909090909085,1.346942717560316,45.18647410392358,6.0,1.0,1.0,4.0,3.224919454513425,8603830.475887405,157067.31134470605,8787052.247299869
20260724,stress_second_moment,medium,1.0360453750472516,0.016096752265209558,1068989.7367569439,309477.4278609227,49379.17170658665,710133.1371894346,3862212.6966144657,5851735.701455333,8550462.375892049,0.59375,0.49090909090909085,1.348704340320213,45.0875904235729,6.0,1.0,1.0,5.0,3.3197190308583444,8603217.871695835,158179.15803406792,8787163.008775292
20260724,hybrid_96,low,23.941021249978803,,1199457.0236753402,333068.49146524986,50453.94350807757,815934.5887020129,4509083.549232159,6520135.923059593,9642097.27824429,0.59765625,-0.4545454545454545,0.520523781540182,58.49999735563056,4.0,1.0,1.0,1.0,8.201059501969196,9978953.021280456,221438.3825815792,10206302.250146408
20260724,stress_second_moment,low,1.0360453750472516,0.016096752265209558,1198670.8773417324,332766.89330795343,50446.330515695234,815457.6535180837,4502684.94938869,6522845.328201155,9636679.608460467,0.6015625,-0.406060606060606,0.5243049547438342,58.411984324516446,4.0,1.0,1.0,1.0,8.070822390804928,9966604.62777234,220779.7967711994,10192983.373767948
20260731,hybrid_96,medium,25.79793600004632,,1060903.9926880829,312538.0022430388,49333.21974938177,699032.7706956624,3841779.1627484686,6304472.805718452,8265859.731217285,0.61328125,0.5878787878787878,1.3905931122954298,44.7205425830259,6.0,1.0,1.0,6.0,4.269194402870113,8551420.026956543,162392.55580114495,8741213.536474366
20260731,stress_second_moment,medium,1.0609877499518916,0.04437769364395383,1064161.2275548512,313524.542186952,49353.2635728324,701283.4217950668,3845943.1228416036,6220348.2363128755,8294514.847264453,0.61328125,0.4424242424242424,1.368696360959533,45.34603506649654,6.0,1.0,1.0,5.0,3.6074612439818163,8569119.773870286,157563.1083133544,8754945.067565665
20260731,hybrid_96,low,25.79793600004632,,1193175.6604624153,330410.9527478769,50395.207310574355,812369.5004039641,4464500.418774856,7437488.177723086,10066021.329385541,0.59765625,-0.406060606060606,0.5517986954417068,57.64792110271322,4.0,1.0,1.0,1.0,7.572377879096945,9891058.03270247,216444.1715184891,10117447.44885371
20260731,stress_second_moment,low,1.0609877499518916,0.04437769364395383,1191083.5028354093,330204.33961465245,50377.63384964616,810501.5293711106,4442503.599096097,7280776.5454084985,10007323.734171318,0.6015625,-0.406060606060606,0.5615361540525816,57.516607924908236,4.0,1.0,1.0,1.0,6.929813063494201,9851286.803195406,213668.80352599535,10073431.755990759
20260807,hybrid_96,medium,26.23163879197091,,1061677.4103678167,312803.96126654686,49319.79024360411,699553.6588576657,3842704.67162892,6906656.180422216,9146624.083166081,0.6015625,0.5393939393939393,1.412110562651702,44.68793700016725,6.0,1.0,1.0,5.0,4.523009351434275,8547860.146232551,161022.446736482,8734656.091890229
20260807,stress_second_moment,medium,1.1685020000441,0.04556591841100668,1064714.5174255467,313251.53835009347,49352.615371949185,702110.3637035041,3849608.6874852013,6989090.1002927255,9170632.118011842,0.58984375,0.406060606060606,1.382998789379359,45.310731774635876,5.0,1.0,1.0,5.0,3.7819206404482313,8567718.030726075,160906.54956046736,8753529.913981792
