candidate,fixture,date,daily_gross_pct,cumulative_gross_pct,urgent_daily_gross_pct,medium_daily_gross_pct,small_daily_gross_pct
baseline_adaptive_residual,urgency_ramp,2026-07-01,13.413816228682911,13.413816228682911,7.142857144228966,5.130784708884295,1.1401743755696474
baseline_adaptive_residual,urgency_ramp,2026-07-02,13.413816225246473,26.827632453929382,7.142857144122247,5.130784708312414,1.1401743728118077
baseline_adaptive_residual,urgency_ramp,2026-07-03,13.413816218905232,40.241448672834615,7.142857143928776,5.130784707250811,1.140174367725647
baseline_adaptive_residual,urgency_ramp,2026-07-06,13.413816204445672,53.65526487728029,7.14285714350098,5.130784704838562,1.140174356106125
baseline_adaptive_residual,urgency_ramp,2026-07-07,13.413816158875948,67.06908103615623,7.142857142815262,5.1307846977220155,1.1401743183386723
baseline_adaptive_residual,urgency_ramp,2026-07-08,11.269147961815984,78.33822899797222,7.142857141174429,3.3760563020320733,0.750234518609485
baseline_adaptive_residual,urgency_ramp,2026-07-09,9.601070807685819,87.93929980565804,7.142857136254167,2.0112673394558156,0.44694633197583666
baseline_adaptive_residual,urgency_ramp,2026-07-10,8.074333102958606,96.01363290861664,7.086974712233511,0.8078467097136065,0.17951168101149084
baseline_adaptive_residual,urgency_ramp,2026-07-13,2.989729718689902,99.00336262730654,2.7204831055307706,0.2203210458140633,0.048925567345068144
baseline_adaptive_residual,urgency_ramp,2026-07-14,0.9966373726934697,100.00000000000001,0.906827900496616,0.07344221883349257,0.016367253363361246
baseline_adaptive_residual,factor_balance,2026-07-01,12.525460457304499,12.525460457304499,7.692307692433737,4.833152764870763,0.0
baseline_adaptive_residual,factor_balance,2026-07-02,13.217768144657182,25.743228601961683,7.692307692397405,5.525460452259778,0.0
baseline_adaptive_residual,factor_balance,2026-07-03,13.21776814683358,38.96099674879526,7.692307692328468,5.5254604545051125,0.0
baseline_adaptive_residual,factor_balance,2026-07-06,13.217768146839896,52.178764895635155,7.69230769202065,5.525460454819245,0.0
baseline_adaptive_residual,factor_balance,2026-07-07,13.217768146712292,65.39653304234744,7.6923076916703526,5.525460455041939,0.0
baseline_adaptive_residual,factor_balance,2026-07-08,11.328060670150002,76.72459371249744,7.692307690573781,3.63575297957622,0.0
baseline_adaptive_residual,factor_balance,2026-07-09,9.858288185994317,86.58288189849175,7.692307687342908,2.1659804986514066,0.0
baseline_adaptive_residual,factor_balance,2026-07-10,8.748269677596326,95.33115157608808,7.632126665352483,1.1161430122438432,0.0
baseline_adaptive_residual,factor_balance,2026-07-13,3.811125416905647,99.14227699299373,3.324884896540555,0.48624052036509174,0.0
baseline_adaptive_residual,factor_balance,2026-07-14,0.8577230070062475,99.99999999999997,0.5814499839550337,0.27627302305121376,0.0
baseline_physical_residual,urgency_ramp,2026-07-01,19.514647691190063,19.514647691190063,7.142857142486457,7.142857142002337,5.228933406701271
baseline_physical_residual,urgency_ramp,2026-07-02,15.686800312394965,35.20144800358503,7.14285714243373,7.142857141428764,1.4010860285324664
baseline_physical_residual,urgency_ramp,2026-07-03,14.661124981308008,49.862572984893035,7.142857142413477,7.142857139699577,0.3754106991949543
