date,daily_gross_pct,cumulative_gross_pct,urgent_daily_gross_pct,medium_daily_gross_pct,small_daily_gross_pct,max_factor_imbalance_pct,event_id,strategy,day_index
2028-03-15,5.568911814443259,5.568911814443259,3.034190885317395,2.5347209287346484,3.9121536089874733e-10,3.4371570278091648,event_25,static_open_loop,1
2028-03-16,6.479175500424884,12.048087314868143,3.5332989318050902,2.945876568237256,3.825375565397826e-10,3.3004352605106897,event_25,static_open_loop,2
2028-03-17,8.10599101064217,20.154078325510312,4.6009042914695275,3.5050867188116586,3.609819966140359e-10,3.6973591583636187,event_25,static_open_loop,3
2028-03-20,10.826775533179951,30.980853858690264,6.688747620357421,4.1380279125067,3.158306986730746e-10,5.200194712104993,event_25,static_open_loop,4
2028-03-21,11.462352933595175,42.44320679228544,7.142857269286671,4.319495664085738,2.2276441072644983e-10,6.738591609776516,event_25,static_open_loop,5
2028-03-22,11.56628671543863,54.009493507724066,7.142857303469932,4.423429411818515,1.501849793455626e-10,7.548061663561305,event_25,static_open_loop,6
2028-03-23,11.336123492722631,65.3456170004467,7.142857330266491,4.193266162362443,9.369882760058796e-11,8.593220493502981,event_25,static_open_loop,7
2028-03-24,11.459422729886464,76.80503973033316,7.142857350323092,4.316565379513462,4.9911184759774295e-11,9.201110830711709,event_25,static_open_loop,8
2028-03-27,9.674114594426754,86.47915432475992,7.14285736249652,1.766388396919059,0.7648688350111763,11.088084061319268,event_25,static_open_loop,9
2028-03-28,13.520845679437937,100.00000000419786,7.14285736949266,1.3220269045182454e-10,6.3779883098130705,15.763546798029688,event_25,static_open_loop,10
2028-03-15,2.8485178713655235,2.8485178713655235,1.5263297947312127,1.322188039613957,3.702035341536559e-08,2.5015313193300073,event_25,forecast_liquidity,1
2028-03-16,3.779072065495437,6.627589936860961,1.994738293328142,1.7843337354578228,3.6709471810890636e-08,2.1413836448205488,event_25,forecast_liquidity,2
2028-03-17,5.1947469790139635,11.822336915874924,2.786857541434567,2.407889401069277,3.651012005379845e-08,2.242985523365537,event_25,forecast_liquidity,3
2028-03-20,7.383868899028979,19.206205814903903,4.1857755076425205,3.19809335494196,3.6444499351332096e-08,3.097441415810094,event_25,forecast_liquidity,4
2028-03-21,9.966085256798188,29.17229107170209,6.0760464286607165,3.8900387915959524,3.654152173990405e-08,4.533073355045983,event_25,forecast_liquidity,5
2028-03-22,11.64792001438293,40.820211086085024,7.046791930197659,4.601128046602959,3.758231382322924e-08,5.23667707412943,event_25,forecast_liquidity,6
2028-03-23,12.6526115038508,53.472822589935824,7.6772372522972585,4.975374213462701,3.8090839045172265e-08,6.034172387955436,event_25,forecast_liquidity,7
2028-03-24,14.051045522188739,67.52386811212456,8.312886062177723,5.738159421270799,3.87402151152195e-08,6.434723408257882,event_25,forecast_liquidity,8
2028-03-27,12.369257775274411,79.89312588739897,9.597276444374069,2.7189454158200936,0.05303591508025118,9.423254029333204,event_25,forecast_liquidity,9
2028-03-28,20.106874858428334,100.0000007458273,11.510346459406232,1.5067067981232412,7.089821600898857,15.763546797955057,event_25,forecast_liquidity,10
2028-04-03,6.77945571456477,6.77945571456477,3.6564823296359554,3.12297338443109,4.97723611115156e-10,3.1238054824133354,event_26,static_open_loop,1
2028-04-04,7.387742888361256,14.167198602926025,4.049997564824353,3.3377453230484204,4.88484422578297e-10,3.421518045650927,event_26,static_open_loop,2
2028-04-05,8.52156014988975,22.688758752815772,4.772171776949593,3.749388372473991,4.661640685733093e-10,4.064975474078851,event_26,static_open_loop,3
2028-04-06,10.078445098606512,32.76720385142228,5.819863084490196,4.230974015651264,0.027607998465050628,4.900253605585346,event_26,static_open_loop,4
2028-04-07,11.540727497292309,44.30793134871459,6.701484564539943,4.572181679775186,0.26706125297717925,5.744192772188374,event_26,static_open_loop,5
2028-04-10,12.115977346272029,56.42390869498662,7.142857203946773,4.433678429467268,0.5394417128579876,7.311493562285469,event_26,static_open_loop,6
2028-04-11,12.06410850007328,68.4880171950599,7.142857249451042,3.9401326161494157,0.9811186344728225,9.052401790479243,event_26,static_open_loop,7
2028-04-12,10.143308493061866,78.63132568812176,7.142857296317084,1.8666339163956214,1.1338172803491624,12.29358329503483,event_26,static_open_loop,8
2028-04-13,12.035584769176577,90.66691045729834,7.1428573106313715,1.7962695646357145,3.0964578939094904,14.751289591085044,event_26,static_open_loop,9
2028-04-14,9.33308954749793,100.00000000479628,7.142857333498506,1.0928798414020462,1.0973523725973806,15.763546798029813,event_26,static_open_loop,10
2028-04-03,3.4765542108426692,3.4765542108426692,1.8647148997680636,1.6118393104589066,6.15698600282605e-10,2.5564243834472267,event_26,forecast_liquidity,1
2028-04-04,4.4028625535132635,7.879416764355932,2.38311294741714,2.0197496052963753,7.997482581665249e-10,2.6562112053442157,event_26,forecast_liquidity,2
2028-04-05,5.77388375819891,13.653300522554844,3.1664946126451543,2.607389144798528,7.552298038195483e-10,3.0070753624827287,event_26,forecast_liquidity,3
2028-04-06,7.520792541788024,21.17409306434287,4.232514991906412,3.288277549188332,6.932787452638682e-10,3.7027705379023153,event_26,forecast_liquidity,4
2028-04-07,9.285164025947802,30.45925709029067,5.340801048890062,3.9443629765619495,4.957911331856977e-10,4.2591859223333985,event_26,forecast_liquidity,5
2028-04-10,11.056103916897397,41.51536100718807,6.728562751619043,4.327541164862242,4.161121288866002e-10,5.3726170356743825,event_26,forecast_liquidity,6
2028-04-11,12.031719463446647,53.54708047063472,7.577578430021771,4.454141033124042,3.00835381480447e-10,6.5144268830456475,event_26,forecast_liquidity,7
2028-04-12,11.736140387852261,65.28322085848698,8.312886729827177,2.9595398749245754,0.46371378310050826,9.216886254933044,event_26,forecast_liquidity,8
2028-04-13,15.405510473333782,80.68873133182076,9.597277020068235,3.2412776980347346,2.5669557552308135,12.582594791167573,event_26,forecast_liquidity,9
2028-04-14,19.31126867721818,100.00000000903894,11.510342282121883,3.6887387862267973,4.112187608869501,15.763546798028672,event_26,forecast_liquidity,10
