candidate,fixture,date,factor,factor_dollars,normalized_abs_exposure_pct
baseline_adaptive_residual,factor_balance,2026-07-02,industry_software,-6.533802818010777,9.761794539084363
baseline_adaptive_residual,factor_balance,2026-07-03,country_HK,9.35070422718114,9.230833404879933
baseline_adaptive_residual,factor_balance,2026-07-03,country_JP,-9.35070422718114,9.230833404879933
baseline_adaptive_residual,factor_balance,2026-07-03,sector_financials,9.35070422718114,9.230833404879933
baseline_adaptive_residual,factor_balance,2026-07-03,sector_it,-9.35070422718114,9.230833404879933
baseline_adaptive_residual,factor_balance,2026-07-03,industry_banks,9.35070422718114,9.230833404879933
baseline_adaptive_residual,factor_balance,2026-07-03,industry_software,-9.35070422718114,9.230833404879933
baseline_adaptive_residual,factor_balance,2026-07-06,country_HK,12.167605635542966,8.968875232526168
baseline_adaptive_residual,factor_balance,2026-07-06,country_JP,-12.167605635542966,8.968875232526168
baseline_adaptive_residual,factor_balance,2026-07-06,sector_financials,12.167605635542966,8.968875232526168
baseline_adaptive_residual,factor_balance,2026-07-06,sector_it,-12.167605635542966,8.968875232526168
baseline_adaptive_residual,factor_balance,2026-07-06,industry_banks,12.167605635542966,8.968875232526168
baseline_adaptive_residual,factor_balance,2026-07-06,industry_software,-12.167605635542966,8.968875232526168
baseline_adaptive_residual,factor_balance,2026-07-07,country_HK,14.984507043159901,8.81280959641222
baseline_adaptive_residual,factor_balance,2026-07-07,country_JP,-14.984507043159901,8.81280959641222
baseline_adaptive_residual,factor_balance,2026-07-07,sector_financials,14.984507043159901,8.81280959641222
baseline_adaptive_residual,factor_balance,2026-07-07,sector_it,-14.984507043159901,8.81280959641222
baseline_adaptive_residual,factor_balance,2026-07-07,industry_banks,14.984507043159901,8.81280959641222
baseline_adaptive_residual,factor_balance,2026-07-07,industry_software,-14.984507043159901,8.81280959641222
baseline_adaptive_residual,factor_balance,2026-07-08,country_HK,20.258028167456736,10.155217405741082
baseline_adaptive_residual,factor_balance,2026-07-08,country_JP,-20.258028167456736,10.155217405741082
baseline_adaptive_residual,factor_balance,2026-07-08,sector_financials,20.258028167456736,10.155217405741082
baseline_adaptive_residual,factor_balance,2026-07-08,sector_it,-20.258028167456736,10.155217405741082
baseline_adaptive_residual,factor_balance,2026-07-08,industry_banks,20.258028167456736,10.155217405741082
baseline_adaptive_residual,factor_balance,2026-07-08,industry_software,-20.258028167456736,10.155217405741082
baseline_adaptive_residual,factor_balance,2026-07-09,country_HK,27.442253512755684,12.19029981226032
baseline_adaptive_residual,factor_balance,2026-07-09,country_JP,-27.442253512755684,12.19029981226032
baseline_adaptive_residual,factor_balance,2026-07-09,sector_financials,27.442253512755684,12.19029981226032
baseline_adaptive_residual,factor_balance,2026-07-09,sector_it,-27.442253512755684,12.19029981226032
baseline_adaptive_residual,factor_balance,2026-07-09,industry_banks,27.442253512755684,12.19029981226032
baseline_adaptive_residual,factor_balance,2026-07-09,industry_software,-27.442253512755684,12.19029981226032
baseline_adaptive_residual,factor_balance,2026-07-10,country_HK,35.91303226179692,14.489182693918469
baseline_adaptive_residual,factor_balance,2026-07-10,country_JP,-35.91303226179692,14.489182693918469
baseline_adaptive_residual,factor_balance,2026-07-10,sector_financials,35.91303226179692,14.489182693918469
baseline_adaptive_residual,factor_balance,2026-07-10,sector_it,-35.91303226179692,14.489182693918469
baseline_adaptive_residual,factor_balance,2026-07-10,industry_banks,35.91303226179692,14.489182693918469
baseline_adaptive_residual,factor_balance,2026-07-10,industry_software,-35.91303226179692,14.489182693918469
baseline_adaptive_residual,factor_balance,2026-07-13,country_HK,39.603269950825016,15.363805801272749
baseline_adaptive_residual,factor_balance,2026-07-13,country_JP,-39.603269950825016,15.363805801272749
baseline_adaptive_residual,factor_balance,2026-07-13,sector_financials,39.603269950825016,15.363805801272749
baseline_adaptive_residual,factor_balance,2026-07-13,sector_it,-39.603269950825016,15.363805801272749
baseline_adaptive_residual,factor_balance,2026-07-13,industry_banks,39.603269950825016,15.363805801272749
baseline_adaptive_residual,factor_balance,2026-07-13,industry_software,-39.603269950825016,15.363805801272749
baseline_adaptive_residual,factor_balance,2026-07-14,country_HK,39.99999999999998,15.38461538461538
baseline_adaptive_residual,factor_balance,2026-07-14,country_JP,-39.99999999999998,15.38461538461538
baseline_adaptive_residual,factor_balance,2026-07-14,sector_financials,39.99999999999998,15.38461538461538
baseline_adaptive_residual,factor_balance,2026-07-14,sector_it,-39.99999999999998,15.38461538461538
baseline_adaptive_residual,factor_balance,2026-07-14,industry_banks,39.99999999999998,15.38461538461538
baseline_adaptive_residual,factor_balance,2026-07-14,industry_software,-39.99999999999998,15.38461538461538
baseline_physical_residual,urgency_ramp,2026-07-01,country_HK,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-01,country_JP,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-01,sector_financials,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-01,sector_it,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-01,industry_banks,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-01,industry_software,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-02,country_HK,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-02,country_JP,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-02,sector_financials,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-02,sector_it,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-02,industry_banks,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-02,industry_software,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-03,country_HK,-1.7763568394002505e-15,6.361616729253725e-16
baseline_physical_residual,urgency_ramp,2026-07-03,country_JP,-1.7763568394002505e-15,6.361616729253725e-16
baseline_physical_residual,urgency_ramp,2026-07-03,sector_financials,-1.7763568394002505e-15,6.361616729253725e-16
baseline_physical_residual,urgency_ramp,2026-07-03,sector_it,-1.7763568394002505e-15,6.361616729253725e-16
baseline_physical_residual,urgency_ramp,2026-07-03,industry_banks,-1.7763568394002505e-15,6.361616729253725e-16
baseline_physical_residual,urgency_ramp,2026-07-03,industry_software,-1.7763568394002505e-15,6.361616729253725e-16
baseline_physical_residual,urgency_ramp,2026-07-06,country_HK,-7.105427357601002e-15,1.9748624270507097e-15
baseline_physical_residual,urgency_ramp,2026-07-06,country_JP,-7.105427357601002e-15,1.9748624270507097e-15
baseline_physical_residual,urgency_ramp,2026-07-06,sector_financials,-7.105427357601002e-15,1.9748624270507097e-15
baseline_physical_residual,urgency_ramp,2026-07-06,sector_it,-7.105427357601002e-15,1.9748624270507097e-15
baseline_physical_residual,urgency_ramp,2026-07-06,industry_banks,-7.105427357601002e-15,1.9748624270507097e-15
baseline_physical_residual,urgency_ramp,2026-07-06,industry_software,-7.105427357601002e-15,1.9748624270507097e-15
baseline_physical_residual,urgency_ramp,2026-07-07,country_HK,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-07,country_JP,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-07,sector_financials,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-07,sector_it,0.0,0.0
