event_id,as_of,strategy,solver,risk_aversion,forecast_rmse_bps,calibrated_persistent_directional_scale,selected_inventory_risk_weight,selected_forecast_path_risk_weight,forecast_market_pnl_vol_dollars,forecast_error_pnl_vol_dollars,forecast_predictive_pnl_vol_dollars,forecast_expected_net_pnl_dollars,gross_holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,parent_gross_dollars,net_pnl_bps,within_event_max_drawdown_dollars,within_event_max_drawdown_bps,terminal_completion_error_shares,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,urgent_first_trade_day,medium_first_trade_day,small_first_trade_day,early_factor_imbalance_pct,max_cap_excess_shares,max_wrong_direction_shares,terminal_completion_error_shares_audit
event_01,2027-01-01 16:00:00,static_open_loop,OSQP,medium,3.931305660920078,0.5523050586418268,9.120811753644233e-08,0.0,3798861.6774413665,528780.0871985152,3835486.725951519,-198070.56390111675,2205845.3432460157,323239.2789940405,49343.458892327806,1833262.6053596474,487200000.00000006,37.628542802948424,1161014.2729746923,23.830342220334405,4.895264282822609e-08,0.7212121212121211,1.7061750080360847,42.77912450796396,7.0,1.0,1.0,9.0,5.456548990146819,0.010072555392980576,1.7376883143621822e-05,4.039611667394638e-08
event_01,2027-01-01 16:00:00,forecast_error_risk,OSQP,medium,3.931305660920078,0.5523050586418268,9.120811753644233e-08,9.120811753644233e-08,3798797.518501955,528223.1714733351,3835346.4387794174,-198141.85051503513,2212232.239899749,323040.12472485006,49337.65985958179,1839854.4553153173,487200000.00000006,37.76384349990388,1163909.7660820333,23.889773523851257,5.088804755359888e-08,0.7212121212121211,1.717396064476852,42.69298262856899,7.0,1.0,1.0,9.0,5.533669772744968,0.010148100976948626,1.7517058712482865e-05,4.1443854570388794e-08
event_02,2027-01-20 16:00:00,static_open_loop,OSQP,medium,2.9244291963931146,0.5523050586418268,3.8283902251447715e-08,0.0,3871425.299614019,536932.6568683,3908481.870049182,92942.9227564416,-5621145.0559291,303575.49522307975,49168.683865936706,-5973889.2350181155,487200000.00000006,-122.6167741177774,5973889.2350181155,122.6167741177774,9.272480383515358e-08,0.6606060606060605,1.4270235051815163,44.03560232767697,7.0,1.0,1.0,2.0,4.810240306122682,3.841996658593416e-07,5.304700966260259e-10,7.3225237429142e-08
event_02,2027-01-20 16:00:00,forecast_error_risk,OSQP,medium,2.9244291963931146,0.5523050586418268,3.8283902251447715e-08,3.8283902251447715e-08,3869610.8704806734,535951.9949591458,3906549.990700603,92385.26087507613,-5591749.628540383,303395.46728681115,49160.89594325763,-5944305.991770452,487200000.00000006,-122.00956469151173,5944305.991770452,122.00956469151173,9.311770554631948e-08,0.6606060606060605,1.440521483265173,43.923216446504576,7.0,1.0,1.0,2.0,4.899355054019415,0.0,4.060720117753868e-08,7.415656000375748e-08
event_03,2027-02-08 16:00:00,static_open_loop,OSQP,medium,2.9924008788328185,0.5523050586418268,7.211578142655057e-08,0.0,3829434.36289557,540879.7500394419,3867443.3989042593,624991.8224681834,1105050.8377639898,308562.4611496885,50029.101411458025,746459.2752028431,487200000.00000006,15.321413694639634,794549.9504551062,16.308496520014494,5.430774763226509e-08,0.6,1.4614692845743906,44.57810771894002,6.0,1.0,1.0,8.0,3.7326863539903807,0.010819504881510511,1.6914037634854012e-05,4.330649971961975e-08
event_03,2027-02-08 16:00:00,forecast_error_risk,OSQP,medium,2.9924008788328185,0.5523050586418268,7.211578142655057e-08,7.211578142655057e-08,3827615.0700792,540188.9070264295,3865545.39230518,623959.6513022594,1092229.0096691246,308214.5224489574,50011.81312040855,734002.6740997587,487200000.00000006,15.065736332096852,803187.2352416599,16.48578069051026,6.079790182411671e-08,0.5515151515151515,1.470889298524229,44.49494832769648,6.0,1.0,1.0,8.0,3.806186137191731,0.012623897739103995,1.9745698896636715e-05,5.0407834351062775e-08
event_04,2027-02-25 16:00:00,static_open_loop,OSQP,medium,3.618563807158854,0.5523050586418268,2.73624352609327e-08,0.0,3893184.5963285114,527198.1650083192,3928717.8832639195,-247334.0018695122,-3323151.1852419847,304613.64249629533,48454.105639895206,-3676218.9333781744,487200000.00000006,-75.45605364076712,3855879.380064266,79.14366543645865,9.480572771281004e-08,0.8909090909090909,1.5322117634056858,43.5635938963088,7.0,1.0,1.0,1.0,5.5058568713677625,0.006472031906014308,1.7944358266507193e-05,4.7730281949043274e-08
event_04,2027-02-25 16:00:00,forecast_error_risk,OSQP,medium,3.618563807158854,0.5523050586418268,2.73624352609327e-08,2.73624352609327e-08,3892350.613542672,526068.2922174816,3927739.9540731604,-247527.85661067915,-3324275.9792626603,304353.23147747887,48440.37405232353,-3677069.5847924626,487200000.00000006,-75.47351364516548,3855297.4969275193,79.13172202232181,9.439827408641577e-08,0.8909090909090909,1.546716338205869,43.436656150472814,7.0,1.0,1.0,1.0,5.531013610467503,0.006407814158592373,1.7691393290540956e-05,4.7963112592697144e-08
event_05,2027-03-16 16:00:00,static_open_loop,OSQP,medium,6.955834980196567,0.5523050586418268,5.179388883466111e-08,0.0,4042422.4768577106,570962.351230929,4082545.466731213,1837272.3164301114,-1790398.3400241414,330124.520772256,49887.03663356564,-2170409.8974299626,487200000.00000006,-44.5486432149007,2364367.462190288,48.52970981507159,7.801281753927469e-08,-0.01818181818181818,0.978774931393303,50.36217466970902,5.0,1.0,1.0,1.0,4.439734230504502,0.009817857571761124,9.333167161278192e-06,3.341119736433029e-08
event_05,2027-03-16 16:00:00,forecast_error_risk,OSQP,medium,6.955834980196567,0.5523050586418268,5.179388883466111e-08,5.179388883466111e-08,4032509.152627435,569436.9515212786,4072516.2378782337,1833080.9064079602,-1795846.9877742447,329050.5633413078,49863.260089085736,-2174760.8112046383,487200000.00000006,-44.63794768482426,2373261.6913101976,48.71226788403524,7.674680091440678e-08,-0.01818181818181818,0.9979634511071479,50.08844347535998,5.0,1.0,1.0,2.0,4.4025280960085755,0.010419606216601096,8.765837781996597e-06,3.4226104617118835e-08
