date,symbol,trade_shares,trade_dollars,abs_pct_adv,cap_shares,cap_pct_adv,days_to_earnings,residual_shares_after,residual_dollars_after,event_id,strategy,policy_id,policy_aggressiveness
2026-01-02,URGENT_BUY,1.396511801900705,69.82559009503525,0.0017130661111998252,163.04237095935468,0.20000000000000004,2.0,98.6034881980993,4930.174409904965,event_01,forecast_liquidity,policy_0050,0.05
2026-01-02,HEDGE_SELL,-4.990541104411024,-274.47976074260635,0.005452219687305262,183.06456418221035,0.2,2.0,-75.00945889558898,-4125.520239257394,event_01,forecast_liquidity,policy_0050,0.05
2026-01-02,SMALL_BUY,4.99827028667257e-09,2.998962172003542e-07,4.922397677471169e-12,203.0827500812726,0.2,2.0,39.99999999500173,2399.9999997001037,event_01,forecast_liquidity,policy_0050,0.05
2026-01-05,URGENT_BUY,8.716878920557734,435.8439460278867,0.008663173968021092,201.2398447205352,0.2,1.0,89.88660927754157,4494.330463877079,event_01,forecast_liquidity,policy_0050,0.05
2026-01-05,HEDGE_SELL,-14.32397183826135,-787.8184511043743,0.012948678669349541,221.24221635319793,0.2,1.0,-60.68548705732763,-3337.7017881530196,event_01,forecast_liquidity,policy_0050,0.05
2026-01-05,SMALL_BUY,5.2296124687159515e-09,3.137767481229571e-07,4.335534211435423e-12,241.24420261393877,0.2,1.0,39.999999989772114,2399.9999993863266,event_01,forecast_liquidity,policy_0050,0.05
2026-01-06,URGENT_BUY,89.88660927754158,4494.330463877079,0.06972245876351411,257.8411916952631,0.2,0.0,-1.4210854715202004e-14,-7.105427357601002e-13,event_01,forecast_liquidity,policy_0050,0.05
2026-01-06,HEDGE_SELL,-60.68548705732763,-3337.7017881530196,0.04367804365119438,277.8763973128095,0.2,0.0,0.0,0.0,event_01,forecast_liquidity,policy_0050,0.05
2026-01-06,SMALL_BUY,39.99999998977213,2399.9999993863275,0.02685409023248351,297.9062008318341,0.2,0.0,-1.4210854715202004e-14,-8.526512829121202e-13,event_01,forecast_liquidity,policy_0050,0.05
2026-01-12,URGENT_BUY,1.396511801900705,69.82559009503525,0.0017130661111998252,163.04237095935468,0.20000000000000004,2.0,98.6034881980993,4930.174409904965,event_02,forecast_liquidity,policy_0050,0.05
2026-01-12,HEDGE_SELL,-4.990541104411024,-274.47976074260635,0.005452219687305262,183.06456418221035,0.2,2.0,-75.00945889558898,-4125.520239257394,event_02,forecast_liquidity,policy_0050,0.05
2026-01-12,SMALL_BUY,4.99827028667257e-09,2.998962172003542e-07,4.922397677471169e-12,203.0827500812726,0.2,2.0,39.99999999500173,2399.9999997001037,event_02,forecast_liquidity,policy_0050,0.05
2026-01-13,URGENT_BUY,8.716878920557734,435.8439460278867,0.008663173968021092,201.2398447205352,0.2,1.0,89.88660927754157,4494.330463877079,event_02,forecast_liquidity,policy_0050,0.05
2026-01-13,HEDGE_SELL,-14.32397183826135,-787.8184511043743,0.012948678669349541,221.24221635319793,0.2,1.0,-60.68548705732763,-3337.7017881530196,event_02,forecast_liquidity,policy_0050,0.05
2026-01-13,SMALL_BUY,5.2296124687159515e-09,3.137767481229571e-07,4.335534211435423e-12,241.24420261393877,0.2,1.0,39.999999989772114,2399.9999993863266,event_02,forecast_liquidity,policy_0050,0.05
2026-01-14,URGENT_BUY,89.88660927754158,4494.330463877079,0.06972245876351411,257.8411916952631,0.2,0.0,-1.4210854715202004e-14,-7.105427357601002e-13,event_02,forecast_liquidity,policy_0050,0.05
2026-01-14,HEDGE_SELL,-60.68548705732763,-3337.7017881530196,0.04367804365119438,277.8763973128095,0.2,0.0,0.0,0.0,event_02,forecast_liquidity,policy_0050,0.05
2026-01-14,SMALL_BUY,39.99999998977213,2399.9999993863275,0.02685409023248351,297.9062008318341,0.2,0.0,-1.4210854715202004e-14,-8.526512829121202e-13,event_02,forecast_liquidity,policy_0050,0.05
2026-01-02,URGENT_BUY,7.937752865994523,396.88764329972616,0.009246809347246131,171.68630968602224,0.2,2.0,92.06224713400547,4603.112356700274,event_01,forecast_liquidity,policy_0200,0.2
2026-01-02,HEDGE_SELL,-15.576651435725953,-856.7158289649274,0.01624736571403445,191.74371661088253,0.2,2.0,-64.42334856427405,-3543.2841710350726,event_01,forecast_liquidity,policy_0200,0.2
2026-01-02,SMALL_BUY,3.630117032616822e-08,2.178070219570093e-06,3.428022074131139e-11,211.7907617929739,0.2,2.0,39.999999963698826,2399.9999978219294,event_01,forecast_liquidity,policy_0200,0.2
2026-01-05,URGENT_BUY,18.600700272875063,930.0350136437531,0.018217489466920728,204.20706493779144,0.2,1.0,73.46154686113042,3673.077343056521,event_01,forecast_liquidity,policy_0200,0.2
2026-01-05,HEDGE_SELL,-21.774348187903225,-1197.5891503346775,0.019422968773808832,224.21235848625926,0.2,1.0,-42.64900037637082,-2345.695020700395,event_01,forecast_liquidity,policy_0200,0.2
2026-01-05,SMALL_BUY,4.608511029724379e-06,0.00027651066178346277,3.774114843523617e-09,244.2167883488011,0.2,1.0,39.9999953551878,2399.999721311268,event_01,forecast_liquidity,policy_0200,0.2
2026-01-06,URGENT_BUY,73.46154686113044,3673.0773430565223,0.05860196015958722,250.71361661308597,0.2,0.0,-2.842170943040401e-14,-1.4210854715202004e-12,event_01,forecast_liquidity,policy_0200,0.2
2026-01-06,HEDGE_SELL,-42.64900037637082,-2345.695020700395,0.03149383190500109,270.8403379113632,0.2,0.0,0.0,0.0,event_01,forecast_liquidity,policy_0200,0.2
