event_id,as_of,strategy,plan_selection_policy,selected_plan_source,selection_reason,selection_profit_floor_dollars,selection_candidate_forecast_net_pnl_dollars,selection_candidate_profit_slack_dollars,selection_candidate_hard_passed,coefficient_policy,alpha_policy,factor_policy,profit_policy,liquidity_shape_policy,regret_policy,regret_fraction,regret_weight,liquidity_shape_fraction,forecast_profit_floor_dollars,forecast_profit_floor_slack_dollars,forecast_alpha_floor_dollars,forecast_alpha_floor_slack_dollars,factor_stress_fraction,alpha_confidence,mean_capacity_slack_fraction,solver,risk_aversion,liquidity_forecast_quantile,forecast_rmse_bps,selected_inventory_risk_weight,forecast_expected_net_pnl_dollars,gross_holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,parent_gross_dollars,net_pnl_bps,within_event_max_drawdown_dollars,within_event_max_drawdown_bps,terminal_completion_error_shares,max_realized_participation_rate,p95_realized_participation_rate,max_realized_participation_excess_shares,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,urgent_first_trade_day,medium_first_trade_day,small_first_trade_day,early_factor_imbalance_pct,max_cap_excess_shares,max_wrong_direction_shares,terminal_completion_error_shares_audit
event_97,2031-10-15 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.738002912959309,9.120811753644233e-08,-454060.0799073117,-2669263.830354676,296609.64260631206,48773.418748649114,-3014646.8917096364,487200000.00000006,-61.87698874609269,3179206.4322173996,65.25464762350984,5.061156116425991e-08,0.11489458222779596,0.09884234358973713,11667.325473217861,0.6727272727272726,1.6089953282465541,43.271954489248124,7.0,1.0,1.0,9.0,4.666284628666502,0.01023013933445327,1.760309778106295e-05,4.1676685214042664e-08
event_97,2031-10-15 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,3.738002912959309,9.120811753644233e-08,-460531.32744595094,-2705141.874541953,286970.4768167655,48447.63540782228,-3040559.9867665414,487200000.00000006,-62.40886672345117,3184997.687497242,65.37351575322745,9.193900041282177e-08,0.10854594910488158,0.08964396284291408,6694.270987885422,0.8181818181818182,2.2091465561135677,37.58305970770318,8.0,1.0,1.0,9.0,3.884440586673431,0.01372416723461356,3.020673446776428e-05,5.855690687894821e-08
event_98,2031-11-03 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.4215761968503697,9.120811753644233e-08,-580582.5392283739,5296004.359997362,280127.8157319033,48272.544016806736,4967604.000248652,487200000.00000006,101.96231527603965,1513742.2883397439,31.070244013541537,4.011963028460741e-08,0.10767063652605843,0.09226466635713373,6027.959836016933,0.7333333333333332,1.7390925116954108,42.12618760870523,6.0,1.0,1.0,9.0,6.153438735926783,0.007899024014477618,1.3592088185872738e-05,3.2247044146060944e-08
event_98,2031-11-03 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,3.4215761968503697,9.120811753644233e-08,-568947.6056851465,5078976.162396198,267615.6496057915,47929.661386571366,4763430.851403834,487200000.00000006,97.77156919958608,1287342.350770976,26.423283061801637,7.936614565551281e-08,0.10735115152634704,0.0905100551075115,7812.620979027968,0.8424242424242423,2.3854228078567132,36.84712750575691,7.0,1.0,1.0,9.0,4.162522503278401,0.011244689681916498,2.4463357877748116e-05,4.7963112592697144e-08
event_99,2031-11-20 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.6072429221795956,9.120811753644233e-08,-498577.0695485215,778806.9728131371,298688.2182881393,48241.52488855799,431877.22963644005,487200000.00000006,8.86447515674138,1766649.207156282,36.26127272488263,4.030880518257618e-08,0.1263168335081421,0.09119450571313763,25000.785194425407,0.6484848484848483,1.6962813164106263,42.843978041803,5.0,1.0,1.0,10.0,5.289004143848039,0.008823756710626185,1.433091704393482e-05,3.585591912269592e-08
event_99,2031-11-20 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,3.6072429221795956,9.120811753644233e-08,-493859.3625660058,804477.8656338444,283252.13148706086,47823.276800097774,473402.45734668593,487200000.00000006,9.716799206623273,1736289.2923458805,35.638121764078,7.975904736667871e-08,0.10081741472141297,0.0939943563030035,776.5375670474896,0.7454545454545454,2.2877630033266847,37.458753479345724,7.0,1.0,1.0,10.0,3.346910519984861,0.010541185329202563,1.779040972824148e-05,4.3655745685100555e-08
event_100,2031-12-09 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,4.987248488867349,4.958874012952752e-08,1723264.61476306,717437.5806637993,321885.5139582115,50455.97203702211,345096.0946685658,487200000.00000006,7.083253174642154,1615085.9493156772,33.15036841780946,2.890737960115075e-07,0.11966259311268072,0.10038484657248192,13789.881033261161,-0.29696969696969694,0.8316667612558255,53.65873468120812,4.0,1.0,1.0,1.0,4.229129953466817,0.018251011613756418,5.2596982667722404e-05,1.4691613614559174e-07
event_100,2031-12-09 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,2.479437006476376e-08,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,4.987248488867349,4.958874012952752e-08,1627883.8107991442,896477.7685207953,300141.7082769309,50086.15293095377,546249.9073129101,487200000.00000006,11.212026012169746,1437979.8657835152,29.51518607930039,7.232301868498325e-09,0.11371306649519695,0.08979074326766805,9491.878757600425,0.2121212121212121,1.1418414607888556,48.847600304983786,5.0,1.0,1.0,1.0,2.999609405061606,7.176276994869113e-05,2.1402097072228382e-07,2.0954757928848267e-09
event_101,2031-12-26 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,4.354439214846237,2.8273431340653847e-08,839895.8202322829,1192436.266908188,353691.89794031734,49502.803707323335,789241.5652605477,487200000.00000006,16.19953951684211,3010836.261445616,61.79877383919572,1.1699739843606949e-07,0.1387473960063999,0.10758566587842072,39908.93856501779,-0.05454545454545454,0.9604067780928702,50.29933113226498,4.0,1.0,1.0,1.0,5.321167937153985,0.02532151428749785,1.5531841417646123e-05,8.498318493366241e-08
event_101,2031-12-26 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,1.4136715670326924e-08,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,4.354439214846237,2.8273431340653847e-08,776312.2800192563,617215.2469366188,325651.79979415546,49061.735691594506,242501.71145086875,487200000.00000006,4.977457131585975,3022203.4314899077,62.032090137313375,8.076312951743603e-09,0.12361706596658995,0.09430590616429065,24325.041987103672,0.4787878787878787,1.3874897044736014,44.47955428846778,5.0,1.0,1.0,1.0,3.610186021602259,5.8977166190743446e-05,5.444084660550769e-07,3.4924596548080444e-09
