strategy,event_count,total_net_pnl_dollars,mean_net_pnl_bps,pnl_vol_bps,loss_var_95_bps,loss_cvar_95_bps,probability_profitable,worst_event_pnl_bps,event_sequence_max_drawdown_bps,mean_within_event_drawdown_bps,mean_early_factor_imbalance_pct,mean_late_early_gross_ratio,mean_urgent_first_trade_day,mean_small_first_trade_day,decision,decision_reason
raw_expected_alpha,12,-4041457.4915249897,-6.912728331152482,103.9572260708543,176.11856723058173,176.11856723058173,0.5833333333333334,-176.11856723058173,227.30005727880558,61.00159733358112,4.644714030033957,1.3271410471703577,1.0,4.25,baseline,Current raw expected-alpha policy.
confidence_adjusted_alpha,12,-3417640.544440763,-5.845717953682203,104.87309044629252,180.96732168577768,180.96732168577768,0.5833333333333334,-180.96732168577768,222.1509240124447,60.45256144611295,5.682029866607992,1.5819882551293356,1.0,6.333333333333333,discard,"Failed: no_higher_event_pnl_volatility, no_higher_loss_cvar, factor_within_1pp_on_average."
