candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,plan_selection_policy,selected_plan_source,coefficient_policy,alpha_policy,factor_policy,profit_policy,liquidity_shape_policy,liquidity_shape_fraction,applied_inventory_risk_weight
variance__multiplier_3__variance_2.73624e-08__path_0,variance,0.0,,3.0,2.73624352609327e-08,0.0,optimal,407889.44799522957,306421.8734381221,49321.197022568485,52146.37753453898,3941820.731400424,6018144.690288239,9708174.606567645,0.578125,event_26,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.73624352609327e-08
variance__multiplier_10__variance_9.12081e-08__path_0,variance,0.0,,10.0,9.120811753644233e-08,0.0,optimal,367767.0301932397,312862.0111121686,49157.28691836484,5747.732162706234,3822247.3024418177,5782695.726219408,9448846.25565511,0.515625,event_26,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.73624352609327e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,445571.0768581675,324134.59723727056,49450.35761398564,71986.12200691129,4234036.925169285,6798870.8686246555,8657996.904935056,0.5625,event_26,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,2.73624352609327e-08
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,443355.9358075723,322150.6947397191,49409.866981915366,71795.37408593786,4184929.8072240334,6719748.170825935,8718218.756644094,0.5625,event_26,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,2.73624352609327e-08
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,438096.32526364503,318365.34677814983,49324.63053913851,70406.34794635669,4091189.0328526595,6581014.235224768,8826991.624032585,0.5625,event_26,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,2.73624352609327e-08
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,423427.14797043375,311260.9692538389,49130.75210032908,63035.426616265795,3917476.5227743736,6279840.3068223465,9126743.51931629,0.59375,event_26,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,2.73624352609327e-08
variance__multiplier_3__variance_2.73624e-08__path_0,variance,0.0,,3.0,2.73624352609327e-08,0.0,optimal,395896.0476400126,305491.8253620034,48885.75136957947,41518.4709084297,3746967.6291429377,5774274.4617705755,9345637.230615657,0.5625,event_26,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,2.73624352609327e-08
variance__multiplier_10__variance_9.12081e-08__path_0,variance,0.0,,10.0,9.120811753644233e-08,0.0,optimal,351819.53918787476,306693.5630909073,48698.39805691802,-3572.4219599505523,3627035.444201792,5476337.059095418,9050584.624862486,0.515625,event_26,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,2.73624352609327e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,1120269.5295101246,354840.8159284707,50768.565223611,714660.1483580429,4824627.279890823,10166859.085740464,11506806.082241368,0.625,event_27,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.420197093537582e-08
variance__multiplier_0.1__variance_2.4202e-09__path_0,variance,0.0,,0.1,2.4201970935375823e-09,0.0,optimal,1112798.7355008295,348820.1994286758,50670.29932792954,713308.2367442242,4710992.678470012,9909735.690426147,11080197.007406263,0.59375,event_27,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.420197093537582e-08
