candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,plan_selection_policy,selected_plan_source,coefficient_policy,alpha_policy,factor_policy,profit_policy,liquidity_shape_policy,regret_policy,regret_fraction,regret_weight,liquidity_shape_fraction,applied_inventory_risk_weight
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,-192897.2078194045,287164.11968792754,48968.567418434846,-529029.8949257669,4203684.814430821,8688671.23479155,11593242.996377297,0.421875,event_98,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,-192787.95585089872,287393.7331392574,48969.50268153106,-529151.1916716872,4170383.893456812,8574156.330521878,11477204.047392277,0.421875,event_98,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,-192940.86161377176,288019.0597215724,48979.652973568176,-529939.5743089123,4117020.956465554,8385737.949064627,11288563.258336825,0.421875,event_98,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,-195271.07749394412,290810.69305824884,48988.804744879744,-535070.5752970726,4003176.739928185,7990567.3117454015,10838153.703601828,0.4375,event_98,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_3__variance_2.73624e-08__path_0,variance,0.0,,3.0,2.73624352609327e-08,0.0,optimal,-204458.68962574986,297009.06833195343,48996.033971723926,-550463.7919294273,3884243.8242546283,7814795.941673731,10450632.123713821,0.453125,event_98,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_10__variance_9.12081e-08__path_0,variance,0.0,,10.0,9.120811753644233e-08,0.0,optimal,-218759.12249076075,312793.2485250372,49030.16821257593,-580582.5392283739,3805951.5139595848,7767732.461798779,10186717.562006198,0.453125,event_98,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,-173734.78920717997,285506.982968364,48476.71017985258,-507718.48235539655,3983206.538617936,8400690.948901134,11120213.261491446,0.4375,event_98,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,9.120811753644233e-08
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,-173787.84533966897,285555.9142522466,48483.21401408359,-507826.9736059992,3952458.0014190734,8296437.263284615,11018886.542454422,0.4375,event_98,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,9.120811753644233e-08
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,-174002.47170908656,286000.0038456883,48497.459241450124,-508499.934796225,3904185.064323105,8130055.845951658,10854658.60109292,0.4375,event_98,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,9.120811753644233e-08
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,-175863.73329434043,288779.3765823272,48516.0219516518,-513159.1318283194,3797266.1703641233,7776097.363555495,10442216.75399067,0.453125,event_98,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,9.120811753644233e-08
