event_id,date,day_index,strategy,specific_risk_fraction,raw_factor_variance_dollars2,raw_specific_variance_dollars2,priced_specific_variance_dollars2,total_priced_variance_dollars2,raw_specific_variance_share
event_97,2031-10-16,1,systematic_first,0.5,13578031.074773744,7917002417.598051,3958501208.7990255,3972079239.8737993,0.9982878893716983
event_97,2031-10-17,2,systematic_first,0.5,80233784.27812241,38282040098.63754,19141020049.31877,19221253833.596893,0.9979085237615737
event_97,2031-10-20,3,systematic_first,0.5,434902748.0084447,104869510281.58714,52434755140.79357,52869657888.80202,0.9958700425224705
event_97,2031-10-21,4,systematic_first,0.5,2053370918.842784,238835044342.7544,119417522171.3772,121470893090.21999,0.9914758419718405
event_97,2031-10-22,5,systematic_first,0.5,10448699881.73223,477852380176.2562,238926190088.1281,249374889969.86035,0.9786019316596813
event_97,2031-10-23,6,systematic_first,0.5,27282922999.185223,830789943024.3744,415394971512.1872,442677894511.37244,0.9682044216995016
event_97,2031-10-24,7,systematic_first,0.5,65211217358.01373,1283440346401.3074,641720173200.6537,706931390558.6675,0.9516470976563883
event_97,2031-10-27,8,systematic_first,0.5,235107437547.1153,1733752055451.814,866876027725.907,1101983465273.0222,0.8805869903956406
event_97,2031-10-28,9,systematic_first,0.5,720663996833.8729,2232177224943.257,1116088612471.6284,1836752609305.5015,0.7559421781574321
event_97,2031-10-29,10,systematic_first,0.5,2205519119994.9277,2875439159999.5786,1437719579999.7893,3643238699994.717,0.565924575944892
event_98,2031-11-04,1,static_open_loop,1.0,250394466.0375791,8871461256.732323,8871461256.732323,9121855722.769901,0.972550051914048
event_98,2031-11-05,2,static_open_loop,1.0,1827890350.0304096,42045617590.2908,42045617590.2908,43873507940.32121,0.9583372646537224
event_98,2031-11-06,3,static_open_loop,1.0,8974217501.62721,121201702693.1642,121201702693.1642,130175920194.79141,0.9310608483642869
event_98,2031-11-07,4,static_open_loop,1.0,39668120008.82848,292117769574.72327,292117769574.72327,331785889583.55176,0.880440605661022
event_98,2031-11-10,5,static_open_loop,1.0,98250762936.8266,554516979272.669,554516979272.669,652767742209.4956,0.849485878998453
event_98,2031-11-11,6,static_open_loop,1.0,173563830084.76263,908065164098.284,908065164098.284,1081628994183.0466,0.8395347840912353
event_98,2031-11-12,7,static_open_loop,1.0,283351523852.24365,1341211165299.122,1341211165299.122,1624562689151.3657,0.8255828933260433
event_98,2031-11-13,8,static_open_loop,1.0,461219764561.3218,1835433503152.2607,1835433503152.2607,2296653267713.5825,0.7991774504906063
event_98,2031-11-14,9,static_open_loop,1.0,918447257623.1188,2315291522289.364,2315291522289.364,3233738779912.4824,0.7159797620857998
event_98,2031-11-17,10,static_open_loop,1.0,2205519119999.903,2875439159999.9443,2875439159999.9443,5080958279999.848,0.565924575944369
event_98,2031-11-04,1,full_specific_control,1.0,45743798.35772739,5273101410.685162,5273101410.685162,5318845209.042889,0.9913996748241601
event_98,2031-11-05,2,full_specific_control,1.0,400608178.59533465,26596310094.1903,26596310094.1903,26996918272.785633,0.985160966353735
event_98,2031-11-06,3,full_specific_control,1.0,2287000666.302345,80771699451.81592,80771699451.81592,83058700118.11826,0.9724652485164109
event_98,2031-11-07,4,full_specific_control,1.0,12920560075.143747,205562452398.38034,205562452398.38034,218483012473.52408,0.9408624042260061
event_98,2031-11-10,5,full_specific_control,1.0,41915204782.574104,424633963304.74567,424633963304.74567,466549168087.31976,0.9101590836515452
event_98,2031-11-11,6,full_specific_control,1.0,83697925489.85056,747096013637.1163,747096013637.1163,830793939126.9669,0.8992554933924964
event_98,2031-11-12,7,full_specific_control,1.0,150542891706.70206,1171056312024.6719,1171056312024.6719,1321599203731.374,0.8860903583464165
event_98,2031-11-13,8,full_specific_control,1.0,295645215517.2882,1669689672154.8838,1669689672154.8838,1965334887672.1719,0.8495700568021447
event_98,2031-11-14,9,full_specific_control,1.0,735455217754.3551,2187949311389.7747,2187949311389.7747,2923404529144.13,0.7484250946379731
event_98,2031-11-17,10,full_specific_control,1.0,2205519119999.9077,2875439159999.9414,2875439159999.9414,5080958279999.85,0.5659245759443682
event_98,2031-11-04,1,systematic_first,0.5,15745472.074378204,6861078594.347573,3430539297.1737866,3446284769.2481647,0.9977103570016777
event_98,2031-11-05,2,systematic_first,0.5,140843530.39176095,33595369157.586933,16797684578.793467,16938528109.185228,0.9958251528796548
event_98,2031-11-06,3,systematic_first,0.5,777567795.7375475,96627686435.68185,48313843217.84093,49091411013.578476,0.9920171883757916
event_98,2031-11-07,4,systematic_first,0.5,4085317725.742204,226436839282.9868,113218419641.4934,117303737367.2356,0.9822779823911351
event_98,2031-11-10,5,systematic_first,0.5,19581095810.740963,457804588011.6204,228902294005.8102,248483389816.55118,0.9589826497226355
event_98,2031-11-11,6,systematic_first,0.5,45769094735.75221,797178445538.1953,398589222769.09766,444358317504.84985,0.9457035075742937
event_98,2031-11-12,7,systematic_first,0.5,96689515772.45435,1233610854150.0159,616805427075.0079,713494942847.4623,0.9273175307182021
event_98,2031-11-13,8,systematic_first,0.5,243898592494.4024,1723576293426.7046,861788146713.3523,1105686739207.7546,0.8760347111723273
event_98,2031-11-14,9,systematic_first,0.5,696779258494.8345,2217736550104.5596,1108868275052.2798,1805647533547.1143,0.76092795364535
event_98,2031-11-17,10,systematic_first,0.5,2205519120011.965,2875439159999.699,1437719579999.8496,3643238700011.8145,0.5659245759430046
event_99,2031-11-21,1,static_open_loop,1.0,209982222.33494213,9443301108.669155,9443301108.669155,9653283331.004097,0.978247585289398
event_99,2031-11-24,2,static_open_loop,1.0,1459811707.8402407,44666283575.9434,44666283575.9434,46126095283.78364,0.9683517172034837
event_99,2031-11-25,3,static_open_loop,1.0,7149892944.560281,126331046714.63008,126331046714.63008,133480939659.19037,0.946435101799435
event_99,2031-11-26,4,static_open_loop,1.0,33539355691.493332,298147657148.8828,298147657148.8828,331687012840.37616,0.8988825175749823
event_99,2031-11-27,5,static_open_loop,1.0,83284868684.4118,566635480196.6619,566635480196.6619,649920348881.0737,0.871853729725807
event_99,2031-11-28,6,static_open_loop,1.0,158506799392.09467,918806837386.9878,918806837386.9878,1077313636779.0825,0.8528684739701307
event_99,2031-12-01,7,static_open_loop,1.0,286749865221.9569,1333882423960.9004,1333882423960.9004,1620632289182.8574,0.8230629692275601
event_99,2031-12-02,8,static_open_loop,1.0,551086251401.427,1768413009103.2437,1768413009103.2437,2319499260504.671,0.762411542532019
event_99,2031-12-03,9,static_open_loop,1.0,960647894567.8438,2251052322192.004,2251052322192.004,3211700216759.8477,0.7008911698685869
