date,holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,cumulative_net_pnl_dollars,max_realized_participation_rate,p95_realized_participation_rate,max_realized_participation_excess_shares,event_id,strategy
2028-05-09,70517.45799742053,34442.556367713085,4289.229722711176,31785.671906996264,31785.671906996264,0.1046606390525497,0.09855499729827492,2747.1828975043245,event_28,static_open_loop
2028-05-10,-118556.95960213186,38059.93248875115,4202.547892793286,-160819.43998367628,-129033.76807668002,0.14065355365805954,0.1122472460030453,35413.52808667792,event_28,static_open_loop
2028-05-11,60395.09746061399,34729.185067518236,5189.191577598953,20476.720815496803,-108557.04726118321,0.11916562173287562,0.09641930692591769,23030.501032284097,event_28,static_open_loop
2028-05-12,216491.69821241967,39811.46860165621,5687.927196986117,170992.30241377733,62435.25515259412,0.10754335820718294,0.09761183762479868,10521.372495044983,event_28,static_open_loop
2028-05-15,1269629.0257047934,38889.807417028496,5961.4072735669,1224777.811014198,1287213.066166792,0.12194914678684589,0.11626881238606866,26997.90941314536,event_28,static_open_loop
2028-05-16,830004.0012438887,36298.041874256385,6052.685992020801,787653.2733776117,2074866.3395444038,0.09842706729331763,0.09417321739114014,0.0,event_28,static_open_loop
2028-05-17,941058.2214258413,33383.30815846332,5929.852193567789,901745.0610738102,2976611.400618214,0.0969247806945258,0.09424699271268927,0.0,event_28,static_open_loop
2028-05-18,-113649.64465519768,23190.23765395084,5182.355127438666,-142022.2374365872,2834589.163181627,0.08807228747721413,0.08517547424654301,0.0,event_28,static_open_loop
2028-05-19,-1844129.4678051895,19675.242150468952,3941.133117621341,-1867745.8430732798,966843.3201083473,0.08219820842055862,0.08186416620862687,0.0,event_28,static_open_loop
2028-05-22,-3114627.091549968,12807.926815101033,3528.362354990356,-3130963.3807200594,-2164120.060611712,0.06090094306154413,0.05849969537343298,0.0,event_28,static_open_loop
2028-05-09,28198.91743356461,10863.876545817115,2400.011384947069,14935.029502800426,14935.029502800426,0.06810146119407826,0.06130362442663703,0.0,event_28,forecast_liquidity
2028-05-10,-64122.40554053687,16620.666856006057,2700.985650632998,-83444.05804717593,-68509.0285443755,0.10780420175202174,0.07921778399111719,6798.281898402551,event_28,forecast_liquidity
2028-05-11,30495.715989446806,17796.491353539353,3656.800575579856,9042.424060327598,-59466.6044840479,0.08958269457068418,0.07073213976138187,0.0,event_28,forecast_liquidity
2028-05-12,123414.98679700612,24516.04455900087,4393.503502665171,94505.43873534007,35038.834251292166,0.08669483753337362,0.07814906153735668,0.0,event_28,forecast_liquidity
2028-05-15,839071.7311680204,28881.656634477247,5009.769369421069,805180.3051641221,840219.1394154143,0.10890500045944145,0.10230612939790315,10953.336731617252,event_28,forecast_liquidity
2028-05-16,590913.833142137,33563.19313310395,5700.211490941154,551650.4285180919,1391869.5679335063,0.0895600232268789,0.08870041413286646,0.0,event_28,forecast_liquidity
2028-05-17,727158.9824731505,40884.530106691425,6533.62020876011,679740.8321576989,2071610.4000912053,0.10428563424805204,0.10139459465164423,5305.930083608226,event_28,forecast_liquidity
2028-05-18,-108861.49332661259,35797.17393291139,6368.352794471563,-151027.02005399557,1920583.3800372097,0.1022277984821087,0.09889731213585537,2782.462452771797,event_28,forecast_liquidity
2028-05-19,-1596444.8662504004,35313.82707032828,5441.21861736671,-1637199.9119380952,283383.4680991145,0.10973977043921639,0.10901014629674041,12476.086091886536,event_28,forecast_liquidity
2028-05-22,-3114627.091549826,33699.91675598493,6634.698863459385,-3154961.70716927,-2871578.2390701557,0.09810346366559076,0.09424240351957502,0.0,event_28,forecast_liquidity
2028-05-26,-162287.75566375125,35971.418574747804,4274.318842669496,-202533.49308116853,-202533.49308116853,0.09177338838545371,0.08886549254006362,0.0,event_29,static_open_loop
2028-05-29,-138583.57767002497,33085.706324577855,4825.03420861047,-176494.3182032133,-379027.81128438184,0.09737085337674974,0.09231604646262123,0.0,event_29,static_open_loop
2028-05-30,-512385.58346382395,42137.62321966124,5179.076061143854,-559702.2827446291,-938730.094029011,0.10851117149206521,0.09984954685475675,7782.546499746284,event_29,static_open_loop
2028-05-31,-603895.6794119272,39262.161399599296,5939.79010977576,-649097.6309213022,-1587827.724950313,0.12100573112102789,0.1047636751801262,20421.6435770932,event_29,static_open_loop
2028-06-01,385786.7466155721,41242.47250268856,5854.528067070909,338689.74604581256,-1249137.9789045006,0.10868341666643337,0.10295299880362503,10821.26310286994,event_29,static_open_loop
2028-06-02,134106.77762766546,36274.015585592824,6360.3845769777345,91472.37746509489,-1157665.6014394057,0.1040575035051269,0.09621411962298496,4289.218658235361,event_29,static_open_loop
2028-06-05,2126097.3749531554,31434.70369309843,5992.297581775606,2088670.3736782814,931004.7722388757,0.09307871898213539,0.08797078116087194,0.0,event_29,static_open_loop
2028-06-06,-503967.1758501014,23568.67611607489,4650.691313438116,-532186.5432796144,398818.2289592613,0.08151820558193426,0.07899807724078825,0.0,event_29,static_open_loop
2028-06-07,-4047907.0338349068,13571.845614866728,3430.4121082133097,-4064909.2915579868,-3666091.0625987253,0.0599675591970593,0.058983392845977915,0.0,event_29,static_open_loop
2028-06-08,533426.2003883271,8662.014183753145,2777.9202043644927,521986.26600020943,-3144104.796598516,0.05756838168978941,0.054622478890804585,0.0,event_29,static_open_loop
2028-05-26,-92548.33644145362,10755.972342311788,2285.8034527414593,-105590.11223650686,-105590.11223650686,0.05120349904332273,0.05051271830909659,0.0,event_29,forecast_liquidity
2028-05-29,-85618.51225452834,13436.864928153636,2998.902676685998,-102054.27985936798,-207644.39209587482,0.06859215536368857,0.06127614035901857,0.0,event_29,forecast_liquidity
2028-05-30,-311865.69634204975,22206.729255946313,3651.4493911010113,-337723.87498909706,-545368.2670849719,0.08604762791454584,0.07696162545511565,0.0,event_29,forecast_liquidity
2028-05-31,-397819.9687723392,24832.792042278856,4568.4816633391865,-427221.2424779573,-972589.5095629292,0.09920988280974471,0.08487810955218723,0.0,event_29,forecast_liquidity
2028-06-01,304050.48519945744,30407.623713651094,4913.14597129457,268729.7155145118,-703859.7940484174,0.08782393694894643,0.08636683410472125,0.0,event_29,forecast_liquidity
2028-06-02,156697.5412569242,34023.04100915835,5989.383926943768,116685.11632082207,-587174.6777275953,0.09534440031577716,0.09046658181424216,0.0,event_29,forecast_liquidity
2028-06-05,1580038.129203462,36997.74878372664,6327.63564234579,1536712.7447773896,949538.0670497942,0.08986019079463128,0.08934748248990469,0.0,event_29,forecast_liquidity
2028-06-06,-458463.4959120214,34098.65241470607,6046.761955344936,-498608.9102820724,450929.15676772187,0.09007861505998181,0.08982678674911523,0.0,event_29,forecast_liquidity
2028-06-07,-3022284.063268118,24909.1918168048,4869.106494922509,-3052062.3615798457,-2601133.204812124,0.08065640501306202,0.0791642173918815,0.0,event_29,forecast_liquidity
2028-06-08,533426.2003883333,29809.61338620777,6444.594014612372,497171.99298751313,-2103961.211824611,0.09276198879498752,0.08805362540160855,0.0,event_29,forecast_liquidity
