date,holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,cumulative_net_pnl_dollars,max_realized_participation_rate,p95_realized_participation_rate,max_realized_participation_excess_shares,event_id,strategy,selected_plan_source
2028-03-15,80428.82489890774,20562.067497106265,3045.599089469149,56821.15831233232,56821.15831233232,0.09005566070448573,0.08387011269301242,0.0,event_25,static_open_loop,static_open_loop
2028-03-16,-115425.40338087991,19808.7446703033,3599.1316875409757,-138833.27973872417,-82012.12142639185,0.07136136362754478,0.0701915246414747,0.0,event_25,static_open_loop,static_open_loop
2028-03-17,40799.00907097768,29813.40302009348,4507.735268177424,6477.870782706775,-75534.25064368508,0.08834235660273637,0.08278417382771827,0.0,event_25,static_open_loop,static_open_loop
2028-03-20,542969.5390677907,41492.707722699924,5694.6603062651275,495782.1710388257,420247.92039514065,0.11618408589398097,0.1090902238948739,11724.48696881489,event_25,static_open_loop,static_open_loop
2028-03-21,-350239.4656708699,32229.25545327478,5720.781370790527,-388189.5024949352,32058.417900205473,0.08431092241555802,0.08189184692263367,0.0,event_25,static_open_loop,static_open_loop
2028-03-22,428262.90062592184,38718.39986670409,5967.565344993566,383576.9354142242,415635.3533144297,0.10423435303085844,0.09897649482262857,4874.807095052194,event_25,static_open_loop,static_open_loop
2028-03-23,-1267763.5518508663,33864.49931405747,5298.261865138066,-1306926.3130300618,-891290.959715632,0.10368144646218763,0.09986133534953395,3195.655470691592,event_25,static_open_loop,static_open_loop
2028-03-24,1692031.1960688788,26394.17998999384,5015.4384672487595,1660621.5776116361,769330.6178960041,0.08244744536459962,0.08194669178866837,0.0,event_25,static_open_loop,static_open_loop
2028-03-27,-1274076.860173648,15432.483582114763,4331.363303704243,-1293840.707059467,-524510.0891634629,0.06244058684594121,0.06129701814719669,0.0,event_25,static_open_loop,static_open_loop
2028-03-28,-4038083.4635053966,20361.363125386644,6100.385702385165,-4064545.2123331684,-4589055.3014966315,0.05726596619977655,0.05624299651850014,0.0,event_25,static_open_loop,static_open_loop
2028-03-15,55343.353038476576,6559.90058594524,1691.0904848072612,47092.36196772408,47092.36196772408,0.05490322281639691,0.04772600228774243,0.0,event_25,forecast_liquidity,forecast_liquidity
2028-03-16,-85790.78270059291,7064.846819543144,2126.794485300709,-94982.42400543677,-47890.06203771269,0.04268455739278466,0.04217271075314444,0.0,event_25,forecast_liquidity,forecast_liquidity
2028-03-17,11198.636278538124,11473.40665474645,2786.819556877987,-3061.5899330863126,-50951.651970799,0.05415754460231349,0.052449406739397034,0.0,event_25,forecast_liquidity,forecast_liquidity
2028-03-20,324309.5206139257,16312.010513234924,3612.665394856608,304384.84470583417,253433.19273503518,0.06866368765905007,0.06569415704377006,0.0,event_25,forecast_liquidity,forecast_liquidity
2028-03-21,-243369.0976197878,20680.35931378778,4594.044520525711,-268643.5014541013,-15210.308719066117,0.06943738859087582,0.06691679569653126,0.0,event_25,forecast_liquidity,forecast_liquidity
2028-03-22,338655.1199079957,36278.65603058506,5724.750879220722,296651.7129981899,281441.40427912376,0.10302838449651741,0.09780321285394002,3486.433493519129,event_25,forecast_liquidity,forecast_liquidity
2028-03-23,-965127.3178001667,39246.92611590588,5699.343788562689,-1010073.5877046352,-728632.1834255115,0.1116440830151766,0.10748509725768607,10107.569937747932,event_25,forecast_liquidity,forecast_liquidity
2028-03-24,1477642.841121092,38611.31023683428,6205.304030265649,1432826.226853992,704194.0434284806,0.09569889771098203,0.09557045892558323,0.0,event_25,forecast_liquidity,forecast_liquidity
2028-03-27,-1158025.633813668,31620.677217803197,6413.584556359263,-1196059.8955878306,-491865.85215934995,0.0836538520382874,0.08227222462174902,0.0,event_25,forecast_liquidity,forecast_liquidity
2028-03-28,-4038083.463505413,39590.564760832356,9113.489816279143,-4086787.5180825246,-4578653.370241875,0.09227458073957952,0.08748992567212187,0.0,event_25,forecast_liquidity,forecast_liquidity
