candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,policy_id,policy_aggressiveness
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,5.516837872789776,2.453797788948351,1.1800000000000004,1.883040083841425,182.2804158551852,-1.4732812567498754,-1.4732812567498754,1.0,event_02,forecast_liquidity,policy_0200,0.2
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,4.786106915297479,3.041860622811226,1.1800000000000002,0.5642462924862528,170.53969876464777,-0.29574594979266544,-0.29574594979266544,1.0,event_02,forecast_liquidity,policy_0200,0.2
variance__multiplier_10__variance_0.00133827__path_0,variance,0.0,,10.0,0.0013382730984424615,0.0,optimal,4.127139205161125,4.102829452925409,1.1800000000000002,-1.155690247764284,164.4937751738114,1.4326616544851287,1.4326616544851287,0.0,event_02,forecast_liquidity,policy_0200,0.2
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,6.808406222689333,2.5391812005819814,1.1799999999999997,3.0892250221073523,216.63961265705458,-2.2447041691889162,-2.2447041691889162,1.0,event_01,forecast_liquidity,policy_0350,0.35
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,6.624055452396464,2.4392240588055,1.1800000000000002,3.004831393590963,210.54157360099333,-2.2395096004652797,-2.2395096004652797,1.0,event_01,forecast_liquidity,policy_0350,0.35
variance__multiplier_0.3__variance_4.01482e-05__path_0,variance,0.0,,0.3,4.0148192953273845e-05,0.0,optimal,6.323287969092513,2.3461484249098814,1.1800000000000002,2.797139544182631,201.37237890752718,-2.153461989966473,-2.153461989966473,1.0,event_01,forecast_liquidity,policy_0350,0.35
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,5.663815304852156,2.4292684961516695,1.1800000000000002,2.054546808700486,184.84965764171162,-1.6343549236471517,-1.6343549236471517,1.0,event_01,forecast_liquidity,policy_0350,0.35
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,4.8773354514274905,3.024643730705234,1.1800000000000004,0.6726917207222562,171.53073318473733,-0.4069857205679744,-0.40698572056797433,1.0,event_01,forecast_liquidity,policy_0350,0.35
variance__multiplier_10__variance_0.00133827__path_0,variance,0.0,,10.0,0.0013382730984424615,0.0,optimal,4.166104653323434,4.150652140105458,1.1800000000000002,-1.1645474867820238,164.71083233822293,1.434079000770466,1.434079000770466,0.0,event_01,forecast_liquidity,policy_0350,0.35
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,6.808406222689333,2.5391812005819814,1.1799999999999997,3.0892250221073523,216.63961265705458,-2.2447041691889162,-2.2447041691889162,1.0,event_02,forecast_liquidity,policy_0350,0.35
