risk_aversion,event_count,mean_selected_net_pnl_bps,mean_fallback_net_pnl_bps,mean_net_pnl_delta_bps,selected_pnl_vol_bps,fallback_pnl_vol_bps,selected_loss_cvar_95_bps,fallback_loss_cvar_95_bps,mean_selected_drawdown_bps,mean_policy_aggressiveness,all_selected_hard_pass,selected_behavior_pass_rate,economically_viable_selection_rate
high,36,1.747901814350328,1.747901814350328,0.0,0.36805848078545395,0.36805848078545395,0.0,0.0,0.3553639237995187,0.05000000000000001,True,1.0,1.0
medium,36,2.1239799002544855,2.8696115354051606,-0.745631635150675,0.3943343157844842,1.0223739727807355,0.0,0.0,0.5037150368015169,0.20000000000000004,True,1.0,1.0
low,36,2.180840905076481,2.463915840928585,-0.2830749358521038,0.5355130818628618,3.235882905795953,0.0,4.101943732927207,0.5420957772992816,0.23333333333333328,True,1.0,1.0
