candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,selected_profile
hybrid_downside__multiplier_100__variance_2.64632e-06__path_0.472051,hybrid_downside,0.05442884115853919,96,100.0,2.6463216698563394e-06,0.4720505346715244,optimal,1031344.4780887372,355907.04830547114,48993.6125845939,626443.8171986721,3781809.7429239405,5738343.088999383,8300644.992357332,0.58203125,
tail_second_moment__multiplier_0__variance_0__path_0,tail_second_moment,0.05442884115853919,26,0.0,0.0,0.0,optimal,1240800.4033837947,358626.2380664465,50847.00468700852,831327.1606303396,4889510.442652806,6849354.408802731,10198981.10093237,0.609375,
tail_second_moment__multiplier_0.1__variance_2.64632e-09__path_4.25972e-11,tail_second_moment,0.05442884115853919,26,0.1,2.6463216698563396e-09,4.25971843337332e-11,optimal,1232588.8914088677,351992.1607016286,50752.495579032366,829844.2351282068,4780440.445188702,6783597.816206437,10038538.009041386,0.60546875,
tail_second_moment__multiplier_0.3__variance_7.93897e-09__path_1.27792e-10,tail_second_moment,0.05442884115853919,26,0.3,7.938965009569018e-09,1.277915530011996e-10,optimal,1198670.8773417324,332766.89330795343,50446.330515695234,815457.6535180837,4502684.94938869,6522845.328201155,9636679.608460467,0.6015625,low
tail_second_moment__multiplier_1__variance_2.64632e-08__path_4.25972e-10,tail_second_moment,0.05442884115853919,26,1.0,2.6463216698563394e-08,4.25971843337332e-10,optimal,1105211.3395873928,306856.4137468399,49719.26499679283,748635.66084376,3983590.975929938,5968183.142499324,8835240.951714478,0.59765625,
tail_second_moment__multiplier_2__variance_5.29264e-08__path_8.51944e-10,tail_second_moment,0.05442884115853919,26,2.0,5.292643339712679e-08,8.51943686674664e-10,optimal,1068989.7367573865,309477.4278609718,49379.17170659105,710133.1371898237,3862212.6966159926,5851735.70145249,8550462.375893595,0.59375,
tail_second_moment__multiplier_3__variance_7.93897e-08__path_1.27792e-09,tail_second_moment,0.05442884115853919,26,3.0,7.938965009569018e-08,1.277915530011996e-09,optimal,1051436.5643365635,315597.48640903406,49248.30391556181,686590.7740119676,3817719.28410513,5837456.011598161,8438641.20167343,0.58984375,
tail_second_moment__multiplier_10__variance_2.64632e-07__path_4.25972e-09,tail_second_moment,0.05442884115853919,26,10.0,2.6463216698563393e-07,4.25971843337332e-09,optimal,1035467.5713240565,331903.87124844897,49100.311083750654,654463.3889918568,3784275.584159523,5891138.389681077,8328845.703327881,0.58984375,
tail_second_moment__multiplier_30__variance_7.93897e-07__path_1.27792e-08,tail_second_moment,0.05442884115853919,26,30.0,7.938965009569018e-07,1.277915530011996e-08,optimal,1034302.4060278373,343542.7270654787,49041.435894310394,641718.2430680483,3781691.7332274704,5932358.46985806,8332635.611929209,0.58984375,
tail_second_moment__multiplier_100__variance_2.64632e-06__path_4.25972e-08,tail_second_moment,0.05442884115853919,26,100.0,2.6463216698563394e-06,4.25971843337332e-08,optimal,1033971.7293361959,356082.5763710621,49006.19290806152,628882.9600570722,3780932.895984086,5917294.596597391,8336254.808673624,0.59375,
