date,daily_gross_pct,cumulative_gross_pct,urgent_daily_gross_pct,medium_daily_gross_pct,small_daily_gross_pct,max_factor_imbalance_pct,event_id,strategy,day_index,policy_id,policy_aggressiveness
2026-01-02,2.9178419587926934,2.9178419587926934,0.5917422889409767,2.326099667310223,2.5414933661046965e-09,20.28013510804792,event_01,forecast_liquidity,1,policy_0050,0.05
2026-01-05,10.370020317339304,13.287862276131996,3.6935927629481924,6.676427551731985,2.659124984092857e-09,32.24999603425465,event_01,forecast_liquidity,2,policy_0050,0.05
2026-01-06,86.71213772386801,100.0,38.08754630404304,28.285608374178132,20.338983045646845,62.71186440677968,event_01,forecast_liquidity,3,policy_0050,0.05
2026-01-12,2.9178419587926934,2.9178419587926934,0.5917422889409767,2.326099667310223,2.5414933661046965e-09,20.28013510804792,event_02,forecast_liquidity,1,policy_0050,0.05
2026-01-13,10.370020317339304,13.287862276131996,3.6935927629481924,6.676427551731985,2.659124984092857e-09,32.24999603425465,event_02,forecast_liquidity,2,policy_0050,0.05
2026-01-14,86.71213772386801,100.0,38.08754630404304,28.285608374178132,20.338983045646845,62.71186440677968,event_02,forecast_liquidity,3,policy_0050,0.05
2026-01-02,10.623758257989184,10.623758257989184,3.363454604234968,7.260303635295995,1.8458222199746552e-08,31.659743576750106,event_01,forecast_liquidity,1,policy_0200,0.2
2026-01-05,18.03071559736519,28.654473855354375,7.8816526579979085,10.14906059605659,2.343310693080193e-06,39.24381819315984,event_01,forecast_liquidity,2,policy_0200,0.2
2026-01-06,71.34552614464566,100.00000000000003,31.12777409369934,19.878771361867756,20.33898068907855,62.71186440677967,event_01,forecast_liquidity,3,policy_0200,0.2
2026-01-12,10.623758257989184,10.623758257989184,3.363454604234968,7.260303635295995,1.8458222199746552e-08,31.659743576750106,event_02,forecast_liquidity,1,policy_0200,0.2
2026-01-13,18.03071559736519,28.654473855354375,7.8816526579979085,10.14906059605659,2.343310693080193e-06,39.24381819315984,event_02,forecast_liquidity,2,policy_0200,0.2
2026-01-14,71.34552614464566,100.00000000000003,31.12777409369934,19.878771361867756,20.33898068907855,62.71186440677967,event_02,forecast_liquidity,3,policy_0200,0.2
2026-01-02,11.969419143224126,11.969419143224126,3.9010004533904503,8.06841852435124,1.654824349786927e-07,32.591394554690964,event_01,forecast_liquidity,1,policy_0350,0.35
2026-01-05,18.89835085302848,30.867769996252605,8.172971378987386,10.307572568001738,0.4178069060393532,40.468679484835306,event_01,forecast_liquidity,2,policy_0350,0.35
2026-01-06,69.13223000374742,100.00000000000003,30.29890952355438,18.91214450086736,19.921175979325678,62.71186440677966,event_01,forecast_liquidity,3,policy_0350,0.35
2026-01-12,11.969419143224126,11.969419143224126,3.9010004533904503,8.06841852435124,1.654824349786927e-07,32.591394554690964,event_02,forecast_liquidity,1,policy_0350,0.35
2026-01-13,18.89835085302848,30.867769996252605,8.172971378987386,10.307572568001738,0.4178069060393532,40.468679484835306,event_02,forecast_liquidity,2,policy_0350,0.35
2026-01-14,69.13223000374742,100.00000000000003,30.29890952355438,18.91214450086736,19.921175979325678,62.71186440677966,event_02,forecast_liquidity,3,policy_0350,0.35
2026-01-02,23.756323391121704,23.756323391121704,8.623609017193047,12.802791457465522,2.3299229164631305,46.10785833025733,event_01,forecast_liquidity,1,policy_0500,0.5
2026-01-05,27.387177103020864,51.14350049414257,11.395584906262792,12.114072885786534,3.877519310971545,51.28048705601258,event_01,forecast_liquidity,2,policy_0500,0.5
2026-01-06,48.85649950585744,100.00000000000001,22.353687432476367,12.371271249968284,14.131540823412795,62.71186440677966,event_01,forecast_liquidity,3,policy_0500,0.5
2026-01-12,23.756323391121704,23.756323391121704,8.623609017193047,12.802791457465522,2.3299229164631305,46.10785833025733,event_02,forecast_liquidity,1,policy_0500,0.5
2026-01-13,27.387177103020864,51.14350049414257,11.395584906262792,12.114072885786534,3.877519310971545,51.28048705601258,event_02,forecast_liquidity,2,policy_0500,0.5
