date,symbol,trade_shares,trade_dollars,abs_pct_adv,cap_shares,cap_pct_adv,days_to_earnings,residual_shares_after,residual_dollars_after,trial
2026-07-03,U1_JP_it,1.831248720193268e-06,9.888743089043647e-05,1.2208324801288453e-12,150000.0,0.1,7.0,-975000.0003139161,-52650000.01695147,cvar_profile_high
2026-07-03,U2_US_healthcare,40344.41009133571,4518573.9302296,0.044827122323706343,90000.0,0.1,7.0,629999.9878641586,70559998.64078575,cvar_profile_high
2026-07-03,U3_HK_it,9.408740100748624e-06,0.0006209768466494092,8.553400091589658e-12,110000.0,0.1,7.0,-769999.9981193675,-50819999.87587826,cvar_profile_high
2026-07-03,M0_HK_financials,-119999.9999380495,-9359999.99516786,0.09999999994837458,120000.0,0.1,7.0,-420000.00007413834,-32760000.00578279,cvar_profile_high
2026-07-03,M1_JP_it,149999.99971321208,8099999.984513452,0.09999999980880805,150000.0,0.1,7.0,525000.0003311755,28350000.01788348,cvar_profile_high
2026-07-03,M2_US_healthcare,4.73831277935767e-06,0.000530691031288059,5.2647919770640775e-12,90000.0,0.1,7.0,-384993.636492199,-43119287.28712629,cvar_profile_high
2026-07-03,M3_HK_it,109999.99978435501,7259999.985767431,0.0999999998039591,110000.0,0.1,7.0,227924.12732118112,15042992.403197953,cvar_profile_high
2026-07-03,S0_HK_financials,3.748163351492941e-05,0.0029235674141644937,3.123469459577451e-11,120000.0,0.1,7.0,119999.99990452414,9359999.992552884,cvar_profile_high
2026-07-03,S1_JP_it,-5.2497479537675555e-05,-0.00283486389503448,3.4998319691783704e-11,150000.0,0.1,7.0,-149999.99988410753,-8099999.993741807,cvar_profile_high
2026-07-03,S2_US_healthcare,1.7043417563889996e-05,0.0019088627671556796,1.8937130626544438e-11,90000.0,0.1,7.0,89999.99991912387,10079999.990941875,cvar_profile_high
2026-07-03,S3_HK_it,1.5588430822971323e-05,0.0010288364343161074,1.4171300748155748e-11,110000.0,0.1,7.0,-110000.00008458509,-7260000.005582616,cvar_profile_high
2026-07-06,U0_HK_financials,120000.00090285287,9360000.070422525,0.10000000075237739,120000.0,0.1,6.0,539999.9963642133,42119999.71640864,cvar_profile_high
2026-07-06,U1_JP_it,-75000.00036265775,-4050000.0195835186,0.050000000241771834,150000.0,0.1,6.0,-899999.9999512583,-48599999.99736795,cvar_profile_high
2026-07-06,U2_US_healthcare,89999.99896876175,10079999.884501316,0.09999999885417972,90000.0,0.1,6.0,539999.9888953968,60479998.756284446,cvar_profile_high
2026-07-06,U3_HK_it,-109999.99939003971,-7259999.959742621,0.09999999944549065,110000.0,0.1,6.0,-659999.9987293278,-43559999.91613564,cvar_profile_high
2026-07-06,M0_HK_financials,-59999.99916128215,-4679999.934580008,0.04999999930106846,120000.0,0.1,6.0,-360000.0009128562,-28080000.071202785,cvar_profile_high
2026-07-06,M1_JP_it,149999.99992573104,8099999.995989476,0.09999999995048736,150000.0,0.1,6.0,375000.0004054445,20250000.021894,cvar_profile_high
2026-07-06,M2_US_healthcare,-5.40931031759449e-06,-0.0006058427555705829,6.010344797327211e-12,90000.0,0.1,6.0,-384993.6364867897,-43119287.286520444,cvar_profile_high
2026-07-06,M3_HK_it,110000.00012562716,7260000.008291393,0.10000000011420651,110000.0,0.1,6.0,117924.12719555397,7782992.394906562,cvar_profile_high
2026-07-06,S0_HK_financials,3.752463889086978e-05,0.002926921833487843,3.1270532409058154e-11,120000.0,0.1,6.0,119999.99986699951,9359999.989625962,cvar_profile_high
2026-07-06,S1_JP_it,-3.75379888442427e-05,-0.0020270513975891055,2.5025325896161798e-11,150000.0,0.1,6.0,-149999.99984656955,-8099999.991714756,cvar_profile_high
2026-07-06,S2_US_healthcare,-6.266671318107048e-08,-7.018671876279894e-06,6.962968131230053e-14,90000.0,0.1,6.0,89999.99991918654,10079999.990948891,cvar_profile_high
2026-07-06,S3_HK_it,3.220802079326553e-05,0.0021257293723555247,2.928001890296866e-11,110000.0,0.1,6.0,-110000.0001167931,-7260000.007708345,cvar_profile_high
2026-07-07,U0_HK_financials,-6.974588039688807e-06,-0.000544017867095727,5.812156699740672e-12,120000.0,0.1,5.0,539999.996371188,42119999.71695266,cvar_profile_high
2026-07-07,U1_JP_it,-149999.99985310374,-8099999.992067602,0.09999999990206916,150000.0,0.1,5.0,-750000.0000981546,-40500000.00530035,cvar_profile_high
2026-07-07,U2_US_healthcare,89999.99821761875,10079999.800373299,0.09999999801957639,90000.0,0.1,5.0,449999.9906777781,50399998.955911145,cvar_profile_high
2026-07-07,U3_HK_it,-109999.99963595202,-7259999.975972833,0.09999999966904728,110000.0,0.1,5.0,-549999.9990933759,-36299999.94016281,cvar_profile_high
2026-07-07,M0_HK_financials,-120000.0002842519,-9360000.022171648,0.10000000023687658,120000.0,0.1,5.0,-240000.00062860432,-18720000.04903114,cvar_profile_high
2026-07-07,M1_JP_it,4.828111325055833e-06,0.00026071801155301495,3.2187408833705554e-12,150000.0,0.1,5.0,375000.0004006164,20250000.021633286,cvar_profile_high
2026-07-07,M2_US_healthcare,-90000.00095521462,-10080000.106984038,0.10000000106134958,90000.0,0.1,5.0,-294993.635531575,-33039287.179536402,cvar_profile_high
2026-07-07,M3_HK_it,33249.42367808235,2194461.962753435,0.03022674879825668,110000.0,0.1,5.0,84674.70351747161,5588530.432153126,cvar_profile_high
2026-07-07,S0_HK_financials,8.8217128147155e-06,0.0006880935995478089,7.35142734559625e-12,120000.0,0.1,5.0,119999.99985817779,9359999.988937868,cvar_profile_high
2026-07-07,S1_JP_it,-1.270307174069322e-05,-0.0006859658739974339,8.46871449379548e-12,150000.0,0.1,5.0,-149999.99983386646,-8099999.9910287885,cvar_profile_high
2026-07-07,S2_US_healthcare,-1.1830846760292048e-05,-0.0013250548371527093,1.3145385289213387e-11,90000.0,0.1,5.0,89999.99993101739,10079999.992273947,cvar_profile_high
2026-07-07,S3_HK_it,2.3502759006730103e-05,0.0015511820944441868,2.136614455157282e-11,110000.0,0.1,5.0,-110000.00014029587,-7260000.009259528,cvar_profile_high
2026-07-08,U0_HK_financials,59999.99536166927,4679999.6382102035,0.049999996134724396,120000.0,0.1,4.0,480000.00100951875,37440000.07874246,cvar_profile_high
2026-07-08,U1_JP_it,-149999.999994962,-8099999.999727949,0.09999999999664134,150000.0,0.1,4.0,-600000.0001031926,-32400000.0055724,cvar_profile_high
2026-07-08,U2_US_healthcare,89999.99834339366,10079999.81446009,0.09999999815932628,90000.0,0.1,4.0,359999.9923343844,40319999.14145105,cvar_profile_high
2026-07-08,U3_HK_it,-109999.99972608083,-7259999.981921335,0.09999999975098257,110000.0,0.1,4.0,-439999.99936729495,-29039999.958241466,cvar_profile_high
2026-07-08,M0_HK_financials,-1.5461489083611057e-05,-0.0012059961485216624,1.2884574236342548e-11,120000.0,0.1,4.0,-240000.00061314285,-18720000.047825143,cvar_profile_high
