event_id,as_of,information_cutoff,realized_available_at
event_01,2026-01-01 16:00:00,2026-01-01 16:00:00,2026-01-06 20:00:00
event_02,2026-01-09 16:00:00,2026-01-09 16:00:00,2026-01-14 20:00:00
